Metro Area,Total Asian Any Combination,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,"Other Asian, specified","Other Asian, not specified"
"Barnstable Town, MA Metro Area",4320,527,0,0,36,277,1170,449,0,0,351,445,0,0,0,65,0,314,58,0,58,246,0,324
"Baton Rouge, LA Metro Area",20505,3511,68,0,164,106,4122,2391,0,99,759,850,7,28,0,109,0,464,40,84,420,6688,0,595
"Battle Creek, MI Metro Area",3739,341,0,0,1359,0,305,547,0,0,448,211,0,0,0,7,0,0,45,0,8,45,0,423
"Bay City, MI Metro Area",913,128,29,0,0,0,184,203,33,0,14,64,51,0,0,0,0,35,0,0,22,50,0,100
"Beaumont-Port Arthur, TX Metro Area",12116,1629,8,0,0,129,730,1391,0,49,269,369,33,15,0,127,0,1305,0,6,64,5244,0,748
"Beckley, WV Metro Area",1100,283,0,0,0,0,99,398,0,0,18,7,0,0,8,122,0,0,40,0,0,96,0,29
"Bellingham, WA Metro Area",13226,2088,0,0,24,83,2009,2712,43,79,2397,1450,14,22,0,17,60,235,0,118,340,1382,0,153
"Bend-Redmond, OR Metro Area",3582,336,0,0,0,0,596,668,18,49,512,795,0,0,24,28,0,28,0,0,184,163,0,181
"Billings, MT Metro Area",1970,77,0,0,0,13,572,561,0,89,183,146,27,31,0,90,0,0,0,0,22,81,0,78
"Binghamton, NY Metro Area",10532,2512,60,0,0,16,3351,675,0,29,285,719,845,28,13,7,0,466,0,93,61,692,0,680
"Birmingham-Hoover, AL Metro Area",20087,4320,100,0,17,49,4434,1708,0,0,983,2097,240,173,0,197,0,1063,98,131,345,2826,0,1306
"Bismarck, ND Metro Area",1017,118,0,0,0,17,204,310,0,0,36,64,5,0,0,42,0,0,0,0,66,127,0,28
"Blacksburg-Christiansburg-Radford, VA Metro Area",8456,1695,22,0,15,28,3057,693,12,18,556,1045,0,9,0,43,0,170,26,127,0,486,0,454
"Bloomington, IL Metro Area",10581,6308,0,0,0,39,1466,890,0,24,362,693,23,0,26,0,0,128,0,45,179,209,0,189
"Bloomington, IN Metro Area",11303,1867,131,0,168,0,4054,918,0,176,746,1638,28,224,96,0,0,134,25,175,98,501,15,309
"Bloomsburg-Berwick, PA Metro Area",1475,385,14,0,0,6,409,85,0,53,52,97,0,0,0,0,0,164,0,4,16,154,0,36
"Boise City, ID Metro Area",21439,2572,30,38,512,62,4629,4245,45,385,3420,1332,716,9,0,56,30,232,0,140,501,1450,76,959
"Boston-Cambridge-Newton, MA-NH Metro Area",415106,86821,3012,255,993,27965,154773,18289,166,3073,16008,26318,3234,709,197,5026,97,6201,1007,4782,3719,41304,297,10860
"Boulder, CO Metro Area",18708,3141,36,0,84,285,5893,1379,349,107,2059,1612,19,263,93,965,0,106,44,151,537,883,28,674
"Bowling Green, KY Metro Area",4845,355,32,94,1660,440,171,236,0,0,254,170,41,19,0,326,0,88,0,25,164,401,0,369
"Bremerton-Silverdale, WA Metro Area",21304,506,0,0,6,80,1931,12054,101,130,2803,1748,144,13,10,51,0,18,0,206,330,831,0,342
"Bridgeport-Stamford-Norwalk, CT Metro Area",59350,20363,738,0,41,1905,13646,6161,70,78,2942,3700,745,18,23,77,0,1945,131,334,714,2781,48,2890
"Brownsville-Harlingen, TX Metro Area",3587,224,74,0,0,0,490,1280,0,0,107,146,41,0,0,114,0,207,0,24,26,601,0,253
