District,State,Asian Alone Total,Asian Alone Less than HS,Asian Alone HS or GED,Asian Alone Some College or AA,Asian Alone BA or higher,Asian Alone Share Less than HS,Asian Alone Share HS or GED,Asian Alone Share Some College or AA,Asian Alone Share BA or higher,NHPI Alone Total,NHPI Alone Less than HS,NHPI Alone HS or GED,NHPI Alone Some College or AA,NHPI Alone BA or higher,NHPI Alone Share Less than HS,NHPI Alone Share HS or GED,NHPI Alone Share Some College or AA,NHPI Alone Share BA or higher
District 46,California,70530,12902,11950,19043,26635,18.29,16.94,27,37.76,,,,,,,,,
District 47,California,114969,21760,20551,30368,42290,18.93,17.88,26.41,36.78,2921,,,,,,,,
District 48,California,99274,16482,14727,23602,44463,16.6,14.83,23.77,44.79,1941,,,,,,,,
District 49,California,36783,2274,3915,7625,22969,6.18,10.64,20.73,62.44,,,,,,,,,
District 5,Alabama,8441,,,,4708,,,,55.78,433,,,,,,,,
District 5,Arizona,24539,2377,2592,4541,15029,9.69,10.56,18.51,61.25,1275,,,,,,,,
District 5,California,59961,6284,8981,19617,25079,10.48,14.98,32.72,41.83,2634,,,,,,,,
District 5,Colorado,13273,1974,2562,3296,5441,14.87,19.3,24.83,40.99,1597,,,,,,,,
District 5,Connecticut,18582,2234,2352,3030,10966,12.02,12.66,16.31,59.01,,,,,,,,,
District 5,Florida,12960,1966,3009,3076,4909,15.17,23.22,23.73,37.88,,,,,,,,,
District 5,Georgia,19135,2523,3549,,11459,13.19,18.55,,59.89,,,,,,,,,
District 5,Illinois,39329,3323,4270,6721,25015,8.45,10.86,17.09,63.6,,,,,,,,,
District 5,Indiana,17252,,,,12192,,,,70.67,,,,,,,,,
District 5,Kentucky,1539,,,,,,,,,,,,,,,,,
District 5,Louisiana,3460,,,,1528,,,,44.16,,,,,,,,,
District 5,Maryland,21867,2322,3069,4319,12157,10.62,14.03,19.75,55.6,,,,,,,,,
District 5,Massachusetts,58646,5303,6324,5442,41577,9.04,10.78,9.28,70.89,,,,,,,,,
District 5,Michigan,4563,,,,2707,,,,59.33,,,,,,,,,
District 5,Minnesota,26402,5061,4051,4864,12426,19.17,15.34,18.42,47.06,,,,,,,,,
District 5,Missouri,9314,2054,1833,1617,3810,22.05,19.68,17.36,40.91,1217,,,,,,,,
District 5,New Jersey,54613,3448,6050,7614,37501,6.31,11.08,13.94,68.67,,,,,,,,,
District 5,New York,74460,18420,17351,13515,25174,24.74,23.3,18.15,33.81,,,,,,,,,
District 5,North Carolina,6702,,,,3334,,,,49.75,,,,,,,,,
District 5,Ohio,6306,,,1107,3576,,,17.55,56.71,,,,,,,,,
District 5,Oklahoma,17195,3263,2966,3324,7642,18.98,17.25,19.33,44.44,,,,,,,,,
District 5,Oregon,15644,1591,2440,4164,7449,10.17,15.6,26.62,47.62,2128,,,,,,,,
District 5,Pennsylvania,6376,,,,4322,,,,67.79,,,,,,,,,
District 5,South Carolina,5378,941,1242,,2241,17.5,23.09,,41.67,,,,,,,,,
District 5,Tennessee,16155,3515,2747,2267,7626,21.76,17,14.03,47.21,,,,,,,,,
District 5,Texas,9945,2953,1678,,3498,29.69,16.87,,35.17,,,,,,,,,
District 5,Virginia,7579,,,1213,4526,,,16,59.72,,,,,,,,,
District 5,Washington,10649,1816,1784,2488,4561,17.05,16.75,23.36,42.83,1408,,,,,,,,
District 5,Wisconsin,12939,,1460,1452,8922,,11.28,11.22,68.95,,,,,,,,,
District 50,California,31095,3027,5063,9193,13812,9.73,16.28,29.56,44.42,2380,,,,,,,,
District 51,California,43936,9083,10057,13869,10927,20.67,22.89,31.57,24.87,1824,,,,,,,,
District 52,California,106010,7338,10345,20365,67962,6.92,9.76,19.21,64.11,,,,,,,,,
District 53,California,74202,9842,11036,21960,31364,13.26,14.87,29.59,42.27,3263,,,,,,,,
District 6,Alabama,8139,,,,4634,,,,56.94,,,,,,,,,
District 6,Arizona,25502,2276,1866,3324,18036,8.92,7.32,13.03,70.72,,,,,,,,,
District 6,California,79090,17510,16079,19426,26075,22.14,20.33,24.56,32.97,6997,,2408,2700,,,34.41,38.59,
District 6,Colorado,31949,4794,5139,5694,16322,15.01,16.09,17.82,51.09,952,,,,,,,,
District 6,Florida,9551,,,2207,4228,,,23.11,44.27,,,,,,,,,
District 6,Georgia,57534,3431,5625,5581,42897,5.96,9.78,9.7,74.56,,,,,,,,,
District 6,Illinois,45907,3493,3137,6647,32630,7.61,6.83,14.48,71.08,,,,,,,,,
District 6,Indiana,6414,,,,4610,,,,71.87,,,,,,,,,
District 6,Kentucky,9532,,1219,1217,6007,,12.79,12.77,63.02,,,,,,,,,
District 6,Louisiana,11317,1606,1958,,6115,14.19,17.3,,54.03,,,,,,,,,
District 6,Maryland,60027,4182,5957,8046,41842,6.97,9.92,13.4,69.71,,,,,,,,,
District 6,Massachusetts,22316,2559,3138,3090,13529,11.47,14.06,13.85,60.62,,,,,,,,,
District 6,Michigan,6928,,,,4501,,,,64.97,,,,,,,,,
District 6,Minnesota,9176,,1517,2711,3690,,16.53,29.54,40.21,,,,,,,,,
District 6,Missouri,6140,,,,2872,,,,46.78,,,,,,,,,
District 6,New Jersey,94281,7609,9417,10889,66366,8.07,9.99,11.55,70.39,,,,,,,,,
District 6,New York,221948,48117,50869,41303,81659,21.68,22.92,18.61,36.79,,,,,,,,,
District 6,North Carolina,7834,,,,3310,,,,42.25,,,,,,,,,
District 6,Ohio,2095,,,,1133,,,,54.08,,,,,,,,,
District 6,Pennsylvania,22768,,2032,2027,17432,,8.92,8.9,76.56,,,,,,,,,
District 6,South Carolina,4276,,,,2246,,,,52.53,,,,,,,,,
District 6,Tennessee,4932,,,,2131,,,,43.21,,,,,,,,,
District 6,Texas,24010,3666,4857,5722,9765,15.27,20.23,23.83,40.67,777,,,,,,,,
