District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
District 11,Texas,,,,,,,,1833,,,,,,,,,,,,,,,,
District 11,Virginia,,34397,,,,,16961,11224,,,2210,32164,,,,,,,,10731,,,2384,19169
District 12,California,,15356,,,,,149637,28871,,,9165,8737,,,,,,,,,,2020,2052,11811
District 12,Florida,,5219,,,,,3218,3479,,,,,,,,,,,,,,,,
District 12,Georgia,,3063,,,,,1833,2135,,,,,,,,,,,,,,,,
District 12,Illinois,,,,,,,,1440,,,,,,,,,,,,,,,,
District 12,Michigan,,10892,,,,,11315,2391,,,1967,4115,,,,,,,,2180,,,,
District 12,New Jersey,,74243,,,,,23939,8491,,,1324,6226,,,,,,,,4234,,,,
District 12,New York,,19199,,,,,35522,7844,,,9021,13512,,,,,,,,,,1966,,1433
District 12,North Carolina,,17989,,,,,4262,1527,,,,1998,,,,,,,,,,,,8551
District 12,Ohio,,13939,,,,,6058,1246,,,,,,,,,,,,,,,,
District 12,Pennsylvania,,4086,,,,,3991,,,,,,,,,,,,,,,,,
District 12,Texas,,3725,,,,,1736,,,,,,,,,,,,,,,,,6756
District 13,California,,9185,,,,2603,74663,23049,,,6234,8834,3131,,,,,,,,,1889,,14592
District 13,Florida,,4315,,,,,2368,4784,,,,,,,,,,,,,,,,6374
District 13,Georgia,,6477,,,,,,,,,,,,,,,,,,,,,,3828
District 13,Illinois,,5898,,,,,10379,2458,,,,3999,,,,,,,,,,,,
District 13,Michigan,,3380,,,,,,,,,,,,,,,,,,,,,,
District 13,New York,,7273,,,,,12703,3822,,,1688,3204,,,,,,,,,,,,
District 13,North Carolina,,5521,,,,,1642,,,,,,,,,,,,,,,,,5482
District 13,Ohio,,2063,,,,,2183,,,,,,,,,,,,,,,,,
District 13,Pennsylvania,,19998,,,,,15242,3010,,,,9616,,,,,,,,,,,,8752
District 13,Texas,,,,,3502,,,,,,,,,,,,,,,,,,,2837
District 14,California,,18810,,,,,111521,80042,,,10035,7054,,,,,,,,,,2123,,6552
District 14,Florida,,13337,,,,,4362,3798,,,,2130,,,,,,,,,,,,4482
District 14,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
District 14,Illinois,,13641,,,,,4194,6535,,,,,,,,,,,,,,,,
District 14,Michigan,,14083,5905,,,,2459,2364,,,1455,,,,,,,,,,,,,
District 14,New York,,28511,15713,,,,39309,12425,,,2279,6205,,,,3906,,,,5159,,,,2498
District 14,Ohio,,6305,,,,,3899,,,,,,,,,,,,,,,,,
District 14,Pennsylvania,,5868,,,,,8083,,,,,2101,,,,,,,,,,,,
District 14,Texas,,4755,,,,,2439,3305,,,,,,,,,,,,,,,,7418
District 15,California,,76909,,,,,64839,59237,,,5636,10960,,,,,,,,2970,,2066,1204,13380
District 15,Florida,,9287,,,,,2569,3447,,,,,,,,,,,,,,,,
District 15,Illinois,,,,,,,,1220,,,,,,,,,,,,,,,,
District 15,New York,,4139,4468,,,,,,,,,,,,,,,,,,,,,
District 15,Ohio,,4692,,,,,4283,1370,,,,,,,,,,,,,,,,
District 15,Pennsylvania,,7001,,,,,4168,1266,,,,1561,,,,,,,,,,,,
District 15,Texas,,,,,,,,3589,,,,,,,,,,,,,,,,
District 16,California,,12015,,,,3917,2794,6229,26864,,1768,,8137,,,,,,,,,,,
District 16,Florida,,3528,,,,,2539,2841,,,,,,,,,,,,,,,,3472
District 16,Illinois,,,,,,,1701,2422,,,,,,,,,,,,,,,,
District 16,New York,,13742,,,,,6712,6008,,,2022,3007,,,,,,,,,,,,
District 16,Ohio,,6854,,,,,2926,1517,,,,,,,,,,,,,,,,
District 16,Pennsylvania,,2313,,,,,2879,,,,,740,,,,,,,,,,,,3127
District 16,Texas,,,,,,,,2432,,,,,,,,,,,,,,,,
District 17,California,,139481,,,,,115150,52450,,,10877,13718,,,,,,,,5087,,6502,,47121
District 17,Florida,,2283,,,,,,2413,,,,,,,,,,,,,,,,
District 17,Illinois,,2255,,,,,,1290,,,,,,,,,,,,,,,,
District 17,New York,,15141,,,,,10507,7038,,,2967,4372,,,,,,,,,,,,
District 17,Pennsylvania,,3920,,,,,,,,,,,,,,,,,,,,,,
District 17,Texas,,9573,,,,,6098,2442,,,,3486,,,,,,,,,,,,8141
District 18,California,,39731,,,,,64235,11955,,,12873,13487,,,,,,,,,,4183,,10650
District 18,Florida,,4972,,,,,3062,2608,,,,,,,,,,,,,,,,
District 18,Illinois,,10856,,,,,2428,2285,,,,,,,,,,,,,,,,
District 18,New York,,6107,,,,,6496,2595,,,,2034,,,,,,,,,,,,
District 18,Pennsylvania,,6463,,,,,2937,,,,,,,,,,,,,,,,,
District 18,Texas,,4381,,,,,3630,,,,,,,,,,,,,,,,,9578
District 19,California,,32165,,,,3076,30138,41300,,,6074,3754,,,,,,,,,,,,81888
District 19,Florida,,2844,,,,,2306,2299,,,,,,,,,,,,,,,,
District 19,New York,,2683,,,,,3285,1233,,,,1240,,,,,,,,,,,,
District 19,Texas,,2144,,,,,1846,,,,,,,,,,,,,,,,,
District 2,Alabama,,,,,,,1495,,,,,2401,,,,,,,,,,,,
District 2,Arizona,,2199,,,,,5279,4092,,,1555,2076,,,,,,,,,,,,3641
District 2,Arkansas,,2860,,,,,3137,1270,,,,,,,,,,,,,,,,
