District,State,Total Population,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
District 19,Florida,777171,,,,,,,,,,,
District 19,New York,705473,,,,,,,,,,,
District 19,Texas,721822,,,,,,,,,,,
District 2,Alabama,681443,,,,,,,,,,,
District 2,Arizona,717718,,,,,,,,,,,
District 2,Arkansas,757113,,,,,,,,,,,
District 2,California,717270,,,,,,,,,,,
District 2,Colorado,782425,,,,,,,,,,,
District 2,Connecticut,708127,,,,,,,,,,,
District 2,Florida,712695,,,,,,,,,,,
District 2,Georgia,680145,,,,,,,,,,,
District 2,Hawaii,710433,,,,63920,,6142,,,4728,,3705
District 2,Idaho,808083,,,,,,,,,,,
District 2,Illinois,704321,,,,,,,,,,,
District 2,Indiana,722649,,,,,,,,,,,
District 2,Iowa,777339,,,,,,,,,,,
District 2,Kansas,714182,,,,,,,,,,,
District 2,Kentucky,747700,,,,,,,,,,,
District 2,Louisiana,790128,,,,,,,,,,,
District 2,Maine,655084,,,,,,,,,,,
District 2,Maryland,757951,,,,,,,,,,,
District 2,Massachusetts,744002,,,,,,,,,,,
District 2,Michigan,729695,,,,,,,,,,,
District 2,Minnesota,692389,,,,,,,,,,,
District 2,Mississippi,716972,,,,,,,,,,,
District 2,Missouri,762444,,,,,,,,,,,
District 2,Nebraska,652312,,,,,,,,,,,
District 2,Nevada,702115,,,,,,,,,,,
District 2,New Hampshire,661381,,,,,,,,,,,
District 2,New Jersey,726894,,,,,,,,,,,
District 2,New Mexico,696944,,,,,,,,,,,
District 2,New York,721061,,,,,,,,,,,
District 2,North Carolina,806396,,,,,,,,,,,
District 2,Ohio,726067,,,,,,,,,,,
District 2,Oklahoma,748004,,,332,,,,,,,,
District 2,Oregon,794957,,,,,,,,,,,
District 2,Pennsylvania,716385,,,,,,,,,,,
District 2,Rhode Island,523778,,,,,,,,,,,
District 2,South Carolina,697001,,,,,,,,,,,
