District,State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
District 10,Florida,787875,41303,5.24,50223,6.37,,,2652,0.34
District 11,Florida,738652,9457,1.28,12810,1.73,,,,
District 12,Florida,743356,19578,2.63,24900,3.35,427,0.06,932,0.13
District 13,Florida,717518,24687,3.44,30419,4.24,705,0.1,1282,0.18
District 14,Florida,750173,33323,4.44,40047,5.34,,,,
District 15,Florida,761327,22764,2.99,29120,3.82,,,1367,0.18
District 16,Florida,782096,16026,2.05,20461,2.62,,,,
District 17,Florida,743040,9771,1.32,12762,1.72,,,,
District 18,Florida,744294,16609,2.23,21193,2.85,,,,
District 19,Florida,777171,11680,1.5,14855,1.91,,,,
District 2,Florida,712695,12126,1.7,16547,2.32,,,,
District 20,Florida,765067,20370,2.66,25699,3.36,,,,
District 21,Florida,754832,19700,2.61,23713,3.14,,,,
District 22,Florida,742818,24394,3.28,29872,4.02,,,,
District 23,Florida,751320,31168,4.15,38243,5.09,,,,
District 24,Florida,741759,9641,1.3,12040,1.62,,,,
District 25,Florida,756894,8593,1.14,10229,1.35,,,,
District 26,Florida,772867,14251,1.84,17826,2.31,,,,
District 27,Florida,750149,14805,1.97,18234,2.43,,,,
District 3,Florida,720286,24399,3.39,31019,4.31,,,1520,0.21
District 4,Florida,763855,34998,4.58,44387,5.81,,,,
District 5,Florida,722646,18691,2.59,23255,3.22,,,1514,0.21
District 6,Florida,740950,13419,1.81,17203,2.32,,,,
District 7,Florida,748154,32938,4.4,40675,5.44,,,,
District 8,Florida,730040,16122,2.21,22116,3.03,421,0.06,1405,0.19
District 9,Florida,810034,23708,2.93,30842,3.81,483,0.06,,
District 1,Georgia,727997,12775,1.75,18605,2.56,944,0.13,2154,0.3
District 10,Georgia,728072,15305,2.1,19322,2.65,,,,
District 11,Georgia,744447,25746,3.46,30496,4.1,,,,
District 12,Georgia,713701,12229,1.71,16137,2.26,482,0.07,1397,0.2
District 13,Georgia,740677,19500,2.63,23096,3.12,,,,
District 14,Georgia,704946,7571,1.07,9557,1.36,,,,
District 2,Georgia,680145,7830,1.15,10747,1.58,,,,
District 3,Georgia,721355,13932,1.93,18617,2.58,,,,
District 4,Georgia,739094,37631,5.09,42803,5.79,,,,
District 5,Georgia,751264,32250,4.29,37859,5.04,,,,
District 6,Georgia,742017,82078,11.06,90701,12.22,,,,
District 7,Georgia,778970,102365,13.14,111037,14.25,,,1006,0.13
District 8,Georgia,703499,10715,1.52,13554,1.93,,,,
District 9,Georgia,725451,9019,1.24,11501,1.59,,,,
District 1,Hawaii,711225,356699,50.15,476399,66.98,56264,7.91,149236,20.98
District 2,Hawaii,710433,183857,25.88,326345,45.94,86336,12.15,220437,31.03
District 1,Idaho,849292,10605,1.25,17710,2.09,,,3343,0.39
District 2,Idaho,808083,12115,1.5,18349,2.27,,,3147,0.39
District 1,Illinois,712456,13287,1.86,16704,2.34,,,,
District 10,Illinois,715072,74173,10.37,82336,11.51,,,1597,0.22
District 11,Illinois,723626,55071,7.61,62077,8.58,,,,
District 12,Illinois,700568,8291,1.18,11722,1.67,,,,
District 13,Illinois,706023,26710,3.78,30827,4.37,,,,
District 14,Illinois,730782,32020,4.38,37955,5.19,,,,
District 15,Illinois,701048,4825,0.69,6958,0.99,,,,
District 16,Illinois,698425,10076,1.44,13561,1.94,,,,
