County,State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
Hopewell city,Virginia,22353,290,1.3,,,,,,
Isle of Wight County,Virginia,36090,,,553,1.53,,,,
James City County,Virginia,73028,1829,2.5,2703,3.7,,,,
King and Queen County,Virginia,7052,,,,,,,,
King George County,Virginia,25564,272,1.06,636,2.49,,,,
King William County,Virginia,16329,180,1.1,232,1.42,,,,
Lancaster County,Virginia,10848,,,,,,,,
Lee County,Virginia,24428,,,,,,,,
Lexington city,Virginia,7113,,,,,,,,
Loudoun County,Virginia,374558,64423,17.2,75273,20.1,,,,
Louisa County,Virginia,34813,,,296,0.85,,,,
Lunenburg County,Virginia,12369,,,,,,,,
Lynchburg city,Virginia,79237,2178,2.75,2578,3.25,,,,
Madison County,Virginia,13108,,,,,,,,
Manassas city,Virginia,41379,2176,5.26,2723,6.58,,,,
Manassas Park city,Virginia,16117,1689,10.48,1839,11.41,,,,
Martinsville city,Virginia,13256,,,,,,,,
Mathews County,Virginia,8830,,,,,,,,
Mecklenburg County,Virginia,30959,,,,,,,,
Middlesex County,Virginia,10710,,,,,,,,
Montgomery County,Virginia,97692,6317,6.47,7248,7.42,,,,
Nelson County,Virginia,14863,,,,,,,,
New Kent County,Virginia,20523,,,359,1.75,,,,
Newport News city,Virginia,180775,5790,3.2,8457,4.68,330,0.18,706,0.39
Norfolk city,Virginia,245752,8835,3.6,11503,4.68,,,,
Northampton County,Virginia,11998,104,0.87,129,1.08,,,,
Northumberland County,Virginia,12254,,,,,,,,
Norton city,Virginia,4043,,,,,,,,
Nottoway County,Virginia,15537,,,,,,,,
Orange County,Virginia,35265,,,569,1.61,,,,
Page County,Virginia,23694,135,0.57,156,0.66,,,,
Patrick County,Virginia,17958,,,,,,,,
Petersburg city,Virginia,32037,357,1.11,521,1.63,,,,
Pittsylvania County,Virginia,61970,,,476,0.77,,,,
Poquoson city,Virginia,12022,,,336,2.79,,,,
Portsmouth city,Virginia,95536,1259,1.32,1850,1.94,129,0.14,215,0.23
Powhatan County,Virginia,28364,,,219,0.77,,,,
Prince Edward County,Virginia,22903,,,,,,,,
Prince George County,Virginia,37704,820,2.17,1047,2.78,,,,
Prince William County,Virginia,450763,36563,8.11,46907,10.41,569,0.13,1761,0.39
Pulaski County,Virginia,34330,243,0.71,258,0.75,,,,
Radford city,Virginia,17380,,,585,3.37,,,,
Rappahannock County,Virginia,7359,,,,,,,,
Richmond city,Virginia,220892,4601,2.08,6434,2.91,,,,
Richmond County,Virginia,8873,,,,,,,,
Roanoke city,Virginia,99572,2974,2.99,3487,3.5,,,,
Roanoke County,Virginia,93419,2668,2.86,3539,3.79,,,,
Rockbridge County,Virginia,22440,,,178,0.79,,,,
Rockingham County,Virginia,78653,601,0.76,794,1.01,,,,
Russell County,Virginia,27725,,,,,,,,
Salem city,Virginia,25521,490,1.92,630,2.47,,,,
Scott County,Virginia,22290,,,,,,,,
Shenandoah County,Virginia,42854,,,582,1.36,,,,
Smyth County,Virginia,31298,,,,,,,,
Southampton County,Virginia,18089,,,,,,,,
Spotsylvania County,Virginia,130159,3408,2.62,4668,3.59,,,,
Stafford County,Virginia,141159,4436,3.14,6848,4.85,,,,
Staunton city,Virginia,24273,,,434,1.79,,,,
Suffolk city,Virginia,88057,1448,1.64,2520,2.86,,,,
Surry County,Virginia,6670,,,,,,,,
Sussex County,Virginia,11595,,,,,,,,
Tazewell County,Virginia,42689,,,347,0.81,,,,
Virginia Beach city,Virginia,450057,29605,6.58,38974,8.66,437,0.1,1687,0.37
Warren County,Virginia,38991,464,1.19,575,1.47,,,,
Washington County,Virginia,54457,314,0.58,344,0.63,,,,
Waynesboro city,Virginia,21620,,,,,,,,
Westmoreland County,Virginia,17596,,,197,1.12,,,,
Williamsburg city,Virginia,14817,858,5.79,1202,8.11,,,,
Winchester city,Virginia,27516,,,844,3.07,,,,
Wise County,Virginia,39539,178,0.45,227,0.57,,,,
Wythe County,Virginia,29048,215,0.74,215,0.74,,,,
York County,Virginia,67196,3586,5.34,4729,7.04,,,,
Adams County,Washington,19261,228,1.18,,,,,,
Asotin County,Washington,22259,205,0.92,285,1.28,,,,
Benton County,Washington,190529,4845,2.54,7514,3.94,,,,
Chelan County,Washington,75138,,,1204,1.6,,,,
Clallam County,Washington,73439,1102,1.5,1699,2.31,,,,
Clark County,Washington,457474,20651,4.51,28029,6.13,3248,0.71,5961,1.3
Columbia County,Washington,3999,,,,,,,,
Cowlitz County,Washington,103590,1355,1.31,2458,2.37,,,,
Douglas County,Washington,40585,334,0.82,667,1.64,,,,
Ferry County,Washington,7568,,,105,1.39,,,,
Franklin County,Washington,89124,1962,2.2,2567,2.88,,,,
Garfield County,Washington,2226,,,,,,,,
Grant County,Washington,93420,1024,1.1,1660,1.78,,,,
Grays Harbor County,Washington,71454,1144,1.6,1579,2.21,,,,
Island County,Washington,80323,3634,4.52,5494,6.84,,,708,0.88
Jefferson County,Washington,30524,554,1.81,763,2.5,,,,
King County,Washington,2118119,350616,16.55,414406,19.56,16522,0.78,27259,1.29
Kitsap County,Washington,258903,12510,4.83,20586,7.95,2094,0.81,4388,1.69
Kittitas County,Washington,43726,831,1.9,1414,3.23,,,,
Klickitat County,Washington,21172,,,309,1.46,,,,
Lewis County,Washington,76012,981,1.29,1377,1.81,,,319,0.42
Lincoln County,Washington,10344,65,0.63,,,,,,
Mason County,Washington,61569,941,1.53,1335,2.17,,,,
Okanogan County,Washington,41377,376,0.91,512,1.24,,,92,0.22
Pacific County,Washington,20940,366,1.75,688,3.29,,,,
Pend Oreille County,Washington,13066,,,176,1.35,,,,
Pierce County,Washington,845193,51582,6.1,78793,9.32,12172,1.44,19825,2.35
San Juan County,Washington,16221,212,1.31,326,2.01,,,,
Skagit County,Washington,121725,2098,1.72,3866,3.18,,,,
Skamania County,Washington,11498,132,1.15,169,1.47,,,,
