District,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
District 30,Texas,760204,14848,,,,,,,14.69,,,,,,,,,,,,,,,,,34.13
District 31,California,740071,57988,11.1,,,,,19.48,27.32,,5.78,,7.94,,,,,,,,,,,,4.02,7.57
District 31,Texas,806513,38760,38.25,,,,,14.97,10.47,,,,12.26,,,,,,,,,,,,,10.94
District 32,California,721884,131134,1.85,,,,,44.63,24.21,,,2.17,2.41,,,,,,,,,,1.71,1.22,4.1,13.12
District 32,Texas,752654,62962,21.03,,,,,13.59,7.98,,,,4.37,,,,,,,,,,,,,33.37
District 33,California,715197,103305,12.09,,,,,25.41,10.97,,,14.7,21.31,,,,,,,,,,2.95,,4.08,3.81
District 33,Texas,727777,16128,16.73,,,,,,,,,,,,,,,,,,,,,,,39.23
District 34,California,728048,142527,2.22,,,,,17.92,23.83,,,3.77,41.47,,,,,,,,,,,1.45,1.95,2.85
District 34,Texas,720989,4440,,,,,,,,,,,,,,,,,,,,,,,,
District 35,California,735165,51637,6.08,,,,,24.42,31.07,,,3.02,6.06,,,,,,,,,,,,3.42,12.05
District 35,Texas,795361,12e3,,,,,,,18.87,,,,,,,,,,,,,,,,,
District 36,California,740835,24699,,,,,,11.98,44.13,,,5.78,,,,,,,,,,,,,,
District 36,Texas,726915,14936,30.49,,,,,11.9,,,,,,,,,,,,,,,,,,18.42
District 37,California,721893,73754,12.16,,,,,25.77,12.05,,,13.71,20.54,,,,,,,,,,2.05,,2.8,3.69
District 38,California,720150,111176,8.75,,,,2.57,17.44,30.9,,,5.46,19.09,,,,,,,,,,1.36,1.85,2.55,7.18
District 39,California,726854,222920,6.77,,,,,36.68,15.74,,,3.55,21.38,,,,,,,,,,3.26,0.77,2.78,5.14
District 4,Alabama,683508,4190,,,,,,,,,,,,,,,,,,,,,,,,
District 4,Arizona,749187,9482,,,,,,,29.43,,,,,,,,,,,,,,,,,
District 4,Arkansas,714749,4392,,,,,,,,,,,,,,,,,,,,,,,,
District 4,California,726653,36141,23.17,,,,,15.95,29.32,,,6.68,6.2,,,,,,,,,,,,,5.94
District 4,Colorado,780344,15045,26.15,,,,,19.61,8.17,,,,,,,,,,,,,,,,,
District 4,Connecticut,738259,39047,38.94,,,,,23.61,9.02,,,4.77,6.41,,,,,,,,,,,,,
District 4,Florida,763855,34998,28.96,,,,,10.67,27.24,,,2.94,,,,,,,,,,,,,,
District 4,Georgia,739094,37631,28.39,,,10.42,,6.15,,,,,,,,,,,,,,,,,,23.34
District 4,Illinois,703303,25093,11.39,,,,,28.42,38.18,,,,6.27,,,,,,,,,,,,,
District 4,Indiana,745099,21635,23.39,,,,,41.11,7.45,,,,8.99,,,,,,,,,,,,,
District 4,Iowa,758360,15682,11.82,,,,,27.73,6.42,,,,,,,,,,,,,,,,,13.77
District 4,Kansas,722477,23992,11.33,,,,,7.59,,,,,,8.19,,,,,,,,,,,,41.21
District 4,Kentucky,749054,8784,29.27,,,,,,,,,,,,,,,,,,,,,,,
District 4,Louisiana,758769,6966,,,,,,,25.05,,,,16.11,,,,,,,,,,,,,
District 4,Maryland,747699,22640,20.64,,,,,12.37,28.78,,,,9.51,,,,,,,,,,,,,
District 4,Massachusetts,751263,44647,26.99,,,,,42.2,,,,5.14,8.95,,,,,,,,,,,,,
District 4,Michigan,700749,7083,24.71,,,,,23.58,,,,,11.59,,,,,,,,,,,,,
District 4,Minnesota,701130,85308,8.36,,,12.19,,8.09,2.15,50.3,,,3.56,,,,,,,,,,,,,6.13
District 4,Mississippi,762965,11610,,,,,,,,,,,,,,,,,,,,,,,,42.89
District 4,Missouri,762923,11625,21.1,,,,,25.54,13.47,,,,12.71,,,,,,,,,,,,,
District 4,Nevada,731299,41057,,,,,,6.18,64.9,,,5.58,5.84,,,,,,,,,,,3.16,,
District 4,New Jersey,741766,31162,35.75,,,,,25.6,16.06,,,,9.68,,,,,,,,,,,,,
District 4,New York,724387,47823,42.96,,,,,21.36,12,,,,5.69,,,,,,,,,,,,,
District 4,North Carolina,825295,69537,44.61,,,,,21.05,3.81,,,2.17,7.26,,,,,,,,,,,,,7.16
District 4,Ohio,711332,6081,26.08,,,,,23.66,,,,,,,,,,,,,,,,,,
District 4,Oklahoma,780488,18400,12.62,,,,,16.73,11.41,,,,13.71,,,,,,,,,,,,,26.42
District 4,Oregon,785159,18450,10.1,,,,,33.56,9.63,,,11.56,15.09,,,,,,,,,,,,,
District 4,Pennsylvania,720275,17674,30.43,,,,,15.1,7.79,,,,9.74,,,,,,,,,,,,,14.76
District 4,South Carolina,708271,17198,22.89,,,,,15.83,,,,,,,,,,,,,,,,,,
District 4,Tennessee,756359,12566,,,,,,,,,,,,26.79,,,,,,,,,,,,
District 4,Texas,728435,7842,,,,,,,19.08,,,,,,,,,,,,,,,,,
District 4,Utah,773536,24441,17.61,,,,,17.77,7.77,,,6.71,,,,,,,,,,,,,,17.57
District 4,Virginia,760613,14243,24.04,,,,,15.72,24.67,,,,11.04,,,,,,,,,,,,,
District 4,Washington,711057,11081,,,,,,15.22,19.39,,,10.62,,,,,,,,,,,,,,
District 4,Wisconsin,715308,27851,9.86,,,,,9.21,3.75,45.82,,,,,,,,,,,,,,,,
District 40,California,714946,18243,,,,,,8.49,36.05,,,,16.44,,,,,,,,,,,,,
District 41,California,747233,42176,11.07,,,,,15.3,29.63,,,,7.9,,,,,,,,,,,,,13.89
District 42,California,777599,72125,10.45,,,,,16.58,33.63,,,2.76,9.06,,,,,,,,,,,,,11.41
District 43,California,726570,93352,7.35,,,,,11.2,20.17,,,24.63,16,,,,,,,,,,,,3.58,9.77
District 44,California,723533,42736,,,,,11.51,3.88,64.51,,,3.63,4.35,,,,,,,,,,,,,4.38
District 45,California,762519,182894,14.38,,,,,25.72,13.35,,,7.3,16.32,,,,,,,,,,3.72,,3.62,10.36
District 46,California,730094,94503,4.6,,,,3.53,7.83,18.35,,,2.92,8.67,,,,,,,,,,,,2.34,47.45
District 47,California,717209,160856,3.84,,,,9.97,6.55,19.42,,,3.44,10.01,,,,,,,,,,,,3.04,39.51
District 48,California,727426,131955,5.2,,,,,11.57,7.68,,,7.19,5.31,,,,,,,,,,,,2.3,55
District 49,California,736520,50443,17.17,,,,,18.39,25.95,,,8.88,8.8,,,,,,,,,,,,,10.46
District 5,Alabama,708691,11842,22.25,,,,,15.74,,,,,18.05,,,,,,,,,,,,,
District 5,Arizona,782680,36219,26.36,,,,,18.38,17.34,,,4.35,8.43,,,,,,,,,,,,,14.8
District 5,California,727704,80645,7.65,,,,,11.89,56.71,,,3.28,2.63,3.6,,,,,,,,,,,2.85,5.9
District 5,Colorado,772116,19407,,,,,,13.97,25.15,,,6.65,23.13,,,,,,,,,,,,,
District 5,Connecticut,715601,27312,36.27,,,,,21.94,,,,,6.5,,,,,,,,,,,,,
District 5,Florida,722646,18691,9.5,,,,,13.16,35.08,,,,,,,,,,,,,,,,,16.64
District 5,Georgia,751264,32250,25.78,,,,,16.63,,,,,11.68,,,,,,,,,,,,,27.11
District 5,Illinois,737064,52063,24.23,,,,,11.14,30.37,,,3.05,8.68,,,,,,,,,,,,,7.94
District 5,Indiana,757787,26294,39.98,,,,,22.64,7.24,,,,8.68,,,,,,,,,,,,,
District 5,Kentucky,706248,2696,,,,,,,,,,,,,,,,,,,,,,,,
District 5,Louisiana,749991,5501,,,,,,,,,,,,,,,,,,,,,,,,
District 5,Maryland,759228,32205,19.28,,,,,19.25,27.65,,,,9.41,,,,,,,,,,,,,
District 5,Massachusetts,760616,85576,26.28,,,,,42.72,2.51,,,3.11,7.41,,,,,,,,,,,,1.57,5.77
District 5,Michigan,682884,6366,36.07,,,,,,,,,,,,,,,,,,,,,,,
District 5,Minnesota,702022,43556,19.04,,,,,13.94,4.13,33.32,,1.74,7.83,,,,,,,,,,,,1.7,7.91
District 5,Missouri,761929,14063,13.74,,,,,14.36,11.69,,,,,,,,,,,,,,,,,25.01
District 5,New Jersey,745615,79290,29.69,,,,,14.32,21.35,,,3.13,23.89,,,,,,,,,,,,,
District 5,New York,784341,109383,61.6,13.24,,,,6,8.17,,,,,,,,,,,,5.61,,,,,
District 5,North Carolina,749093,10670,17.54,,,,,24.23,,,,,,,,,,,,,,,,,,
District 5,Ohio,722212,9523,27.46,,,,,24.8,,,,,,,,,,,,,,,,,,
District 5,Oklahoma,803924,24879,21.25,,,,,10.4,,,,,4.47,,,,,,,,,,,,,36.6
District 5,Oregon,806326,22544,11.03,,,,,25.08,14.44,,,9.44,10.3,,,,,,,,,,,,,13.88
District 5,Pennsylvania,702582,12908,18.66,,,,,44.58,,,,,12.91,,,,,,,,,,,,,
District 5,South Carolina,695549,7903,30.04,,,,,,,,,,,,,,,,,,,,,,,
District 5,Tennessee,758995,24291,23.11,,,,,12.83,,,,,9.61,8.2,,,,,,,,,,,,13.52
District 5,Texas,740618,15285,23.6,,,,,,12.25,,,,,,,,,,,,,,,,,20.12
District 5,Virginia,733693,12871,18.95,,,,,26.49,,,,,11.7,,,,,,,,,,,,,
District 5,Washington,696562,16716,10.5,,,,,24.95,15.63,,,8.8,8.86,,,,,,,,,,,,,13.35
District 5,Wisconsin,720844,19786,44.77,,,,,20.71,,,,,,,,,,,,,,,,,,
District 50,California,744267,42256,6.9,,,,,11.1,43.76,,,6.31,5.91,,,,,,,,,,,,3.18,13.26
District 51,California,730908,60079,,,,,4.27,7.12,54.07,,,2.8,,4.65,,,,,,,,,,,,17.34
District 52,California,754053,150114,15.08,,,,,24.04,26.84,,,4.78,7.76,,,,,,,,,,1.81,,2.53,13.27
District 53,California,761273,102464,,,,,,8.37,59.5,,,4.47,4.52,,,,,,,,,,,,2.8,11.2
District 6,Alabama,698968,11941,25.63,,,,,22.94,,,,,,,,,,,,,,,,,,
District 6,Arizona,762220,36078,43.06,,,,,17.04,13.97,,,,5.36,,,,,,,,,,,,,8.07
District 6,California,743423,115956,12.18,,,,,21.51,15.51,16.6,,5.25,1.94,9.05,,,,,,,,,,,3.03,8.28
District 6,Colorado,792196,47315,23.14,,,,,14.91,6.91,,,4.33,16.53,,,,,,,,,,,,,13.57
District 6,Florida,740950,13419,20.62,,,,,,27.45,,,,,,,,,,,,,,,,,
District 6,Georgia,742017,82078,48.47,,,,,20.71,2.8,,,2.39,10.65,,,,,,,,,,,,,4.11
District 6,Illinois,725875,66416,38.64,,,,,16.75,15.96,,,3.08,7.86,,,,,,,,5.12,,,,,3.61
District 6,Indiana,718307,9997,41.58,,,,,20.4,,,,,,,,,,,,,,,,,,
District 6,Kentucky,757699,14504,24.73,,,,,22.23,10.64,,,11.31,,,,,,,,,,,,,,
District 6,Louisiana,785266,17626,19.41,,,,,18.55,,,,,,,,,,,,,,,,,,38.13
District 6,Maryland,762155,84544,27.45,,,,,29.22,8.47,,,1.36,10.34,,,,,,,,3.71,,,,1.84,6.72
District 6,Massachusetts,762560,32138,30.34,,,,15.69,21.37,,,,,5.53,,,,,,,,,,,,,8.86
District 6,Michigan,713718,11137,29.22,,,,,17.33,13.83,,,,15.34,,,,,,,,,,,,,
District 6,Minnesota,694849,15923,15.95,,,,,9.5,,20.79,,,12.99,,,,,,,,,,,,,13.27
District 6,Missouri,763913,9990,,,,,,22.32,15.41,,,,,,,,,,,,,,,,,
District 6,New Jersey,745204,141648,61.68,,,,,15.51,8.57,,,,3.39,,,,,,,,5.16,,,,,
District 6,New York,742207,296147,10.06,4.08,,,,56.98,6.56,,,0.88,11.7,,,,0.7,,,,2.66,,1.53,,1.36,0.71
District 6,North Carolina,757229,12186,,,,,,,,,,,,,,,,,,,,,,,,21.52
District 6,Ohio,703764,3061,,,,,,,,,,,,,,,,,,,,,,,,
District 6,Pennsylvania,726341,34442,50.57,,,,,19.46,6.91,,,,5.26,,,,,,,,,,,,,
District 6,South Carolina,667841,7580,23.58,,,,,,,,,,,,,,,,,,,,,,,
District 6,Tennessee,746798,6933,32.94,,,,,,,,,,,,,,,,,,,,,,,
District 6,Texas,759949,36019,14.56,,,,,9.08,,,,,,,,,,,,,,,,,,50
District 6,Virginia,746117,14289,20.58,,,,,20.37,11.74,,,6.47,12.92,,,,,,,,,,,,,8.7
District 6,Washington,689399,28552,,,,,,10.65,39.07,,,6.83,13.04,,,,,,,,,,,,,11.61
District 6,Wisconsin,712513,16942,14.97,,,,,,,56.48,,,,,,,,,,,,,,,,
District 7,Alabama,671659,5343,,,,,,,,,,,,,,,,,,,,,,,,
District 7,Arizona,782330,19391,,,,,,10.99,19.37,,,,,,,,,,,,,,,,,24.9
District 7,California,739746,114832,16.41,,,,,20.27,23.67,6,,3.5,4.29,,,,,,,,,,,,3.15,14.49
District 7,Colorado,775383,25346,8.33,,,,,16.75,,11.6,,8.79,5.85,,,,,,,,,,,,,24.69
District 7,Florida,748154,32938,28.12,,,,,19.11,13.6,,,,,,,,,,,,,,,,,15.31
District 7,Georgia,778970,102365,29.95,,,,,13.36,2.7,,,,23.61,,,,,,,,4.23,,,,1.4,15.07
District 7,Illinois,725329,50851,29.54,,,,,40.01,11.5,,,,7.62,,,,,,,,,,,,,
District 7,Indiana,753500,21750,21.92,,,29.42,,15.55,,,,,,,,,,,,,,,,,,
District 7,Maryland,726536,51849,31.32,,,,,17.84,5.47,,,,20.65,,,,,,,,9.46,,,,,4.85
District 7,Massachusetts,781304,78129,15.18,,,,,42.86,2.59,,,2.23,6.06,,,,,,,,,,,,,16.47
District 7,Michigan,703759,6698,24.07,,,,,,,,,,,,,,,,,,,,,,,
District 7,Minnesota,663307,5656,,,,,,15.05,12.2,20.56,,,10.17,,,,,,,,,,,,,
District 7,Missouri,768753,9585,,,,,,19.35,14.17,,,,,,,,,,,,,,,,,
District 7,New Jersey,745147,73529,42.39,,,,,30.52,12.43,,,,5.28,,,,,,,,,,,,,
District 7,New York,750580,141235,11.43,,,,,74.95,3.27,,,1.52,2.31,,,,,,,,,,,,0.82,
District 7,North Carolina,777138,6425,,,,,,,,,,,,,,,,,,,,,,,,
District 7,Ohio,724257,4671,,,,,,,,,,,,,,,,,,,,,,,,
District 7,Pennsylvania,718119,35163,31.7,,,,,22.75,4.97,,,,18.91,,,,,,,,,,,,,7.91
District 7,South Carolina,698776,6625,24.65,,,,,32.8,,,,,,,,,,,,,,,,,,
District 7,Tennessee,752931,14615,36.22,,,,,14.57,14.64,,,,15.95,,,,,,,,,,,,,
District 7,Texas,770276,83013,29.84,,,,,20.95,7.57,,,,5.58,,,,,,,,6.95,,,,,18.66
District 7,Virginia,769141,38778,37.65,,,,,14.29,7.43,,,,7.46,,,,,,,,,,,,,11.75
District 7,Washington,746893,85890,11.97,,,,2.83,26.18,14.01,,,8.32,10.63,,,,,,,,,,1.87,1.57,4.14,12.84
District 7,Wisconsin,707988,11439,,,,,,,6.07,60.45,,,,,,,,,,,,,,,,
District 8,Arizona,761786,27372,23.6,,,,,12.59,23.48,,,,,,,,,,,,,,,,,19.42
District 8,California,719950,22341,,,,,,,33.17,,,,11.32,,,,,,,,,,,,,
District 8,Florida,730040,16122,30.67,,,,,17.6,15.39,,,,,,,,,,,,,,,,,11.51
District 8,Georgia,703499,10715,32.53,,,,,,15.05,,,,,,,,,,,,,,,,,
District 8,Illinois,716738,95012,52.96,,,,,6.54,14.52,,,3.22,6.29,,,,,,,,5.53,,,,,3.19
District 8,Indiana,720806,7382,22.85,,,,,19.28,,,,,,,,,,,,,,,,,,
District 8,Maryland,759725,70387,21.19,,,,,27.15,10.45,,,3.79,12.02,,,,,,,,,,,,,8.83
District 8,Massachusetts,761328,60376,16.52,,,,,49.84,4.62,,,,,,,,,,,,,,,,,15
District 8,Michigan,728626,31677,31.86,,,,,29.65,4.78,,,2.81,12.19,,,,,,,,,,,,,
District 8,Minnesota,663113,5071,,,,,,20.39,15.24,,,,15.2,,,,,,,,,,,,,
District 8,Missouri,743300,4692,,,,,,36.57,,,,,,,,,,,,,,,,,,
District 8,New Jersey,774492,68615,48.57,,,,,20.1,13.25,,,2.11,6.55,,,,,,,,,,,,,
District 8,New York,772709,42613,24.4,,,,,37.53,7.92,,,2.03,4.39,,,,,,,,10.32,,,,,
District 8,North Carolina,772777,17312,24.94,,,,,12.32,13.12,7.42,,,13.35,,,,,,,,,,,,,
District 8,Ohio,725385,13413,33.15,,,,,22.93,,,,,,,,,,,,,,,,,,
District 8,Pennsylvania,709322,35064,47.74,,,,,16.65,7.23,,,,11.82,,,,,,,,,,,,,6.35
District 8,Tennessee,709012,14357,27.32,,,,,22.94,,,,,,,,,,,,,,,,,,
District 8,Texas,807525,22998,22.98,,,,,17.2,14.11,,,,,,,,,,,,,,,,,
District 8,Virginia,787232,89544,17.76,4.51,,,,15.11,11.85,,,2.85,9.36,,,,,,,,10.36,,,2.56,2.02,14.6
District 8,Washington,725674,61096,25.87,,,,,22.46,15.31,,,5.68,9.12,,,,,,,,,,,,3.15,8.98
District 8,Wisconsin,725150,16323,19.92,,,,,,,53.53,,,3.53,,,,,,,,,,,,,
District 9,Arizona,761619,38088,29.98,,,,,25.4,13.2,,,4.28,6.17,,,,,,,,,,,,,8.44
District 9,California,750185,109115,12.86,,,,10.07,10.15,36,7.01,,2.42,,,,,,,,,5.92,,,,3.11,6.57
District 9,Florida,810034,23708,29.42,,,,,,23.89,,,,,,,,,,,,,,,,,
District 9,Georgia,725451,9019,,,,,,,,,,,,,,,,,,,,,,,,22.29
District 9,Illinois,723142,92566,28.02,,,,,13.77,17.96,,,3.93,9.55,,,,,,,,11.26,,,,2.12,5.84
District 9,Indiana,743185,16938,25.8,,,,,28.86,,,,,,,,,,,,,,,,,,
District 9,Massachusetts,735926,10530,,,,,,34.48,,,,,,,,,,,,,,,,,,
District 9,Michigan,717306,30543,33.11,10.35,,,,12.2,14.84,,,,5.72,,,,,,,,,,,,,
District 9,New Jersey,758209,101311,25.8,4.11,,,,12.24,9.2,,,3.75,38.8,,,,,,,,,,,,,
District 9,New York,746279,53916,15.95,,,,,43.65,3.52,,,2.96,3.46,,,,,,,,16.48,,,,,
District 9,North Carolina,772073,19543,44.73,,,,,16.34,6.19,,,,9.34,,,,,,,,,,,,,12.3
District 9,Ohio,710563,10102,19.05,,,,,21.08,,,,,,,,,,,,,,,,,,
District 9,Pennsylvania,694033,4318,,,,,,,,,,,,,,,,,,,,,,,,
District 9,Tennessee,705996,11865,22.61,,,,,,,,,,5.92,,,,,,,,,,,,,21.1
District 9,Texas,780017,91286,17.11,,,,,18.21,9.06,,,,,,,,,,,,4.86,,,,,38.44
District 9,Virginia,714326,9670,23.01,,,,,34.55,,,,,,,,,,,,,,,,,,
District 9,Washington,726425,167453,16.4,,,,2.53,24.01,15.5,,,5.22,9.36,2,,,,,,,,,1.43,,3.68,14.96
Resident Commissioner District (at Large),Puerto Rico,3468963,7789,59.44,,,,,,,,,,,,,,,,,,,,,,,
