District,State,Group Population,No Health INS,Share No Health INS
District 3,Kansas,33815,,
District 3,Kentucky,19535,,
District 3,Louisiana,11774,,
District 3,Maryland,54077,,
District 3,Massachusetts,58792,,
District 3,Michigan,13863,,
District 3,Minnesota,50468,,
District 3,Mississippi,7760,,
District 3,Missouri,7499,,
District 3,Nebraska,4537,,
District 3,Nevada,105498,,
District 3,New Jersey,26829,,
District 3,New Mexico,8545,,
District 3,New York,112286,,
District 3,North Carolina,10424,,
District 3,Ohio,30575,,
District 3,Oklahoma,11184,,
District 3,Oregon,55531,,
District 3,Pennsylvania,7128,,
District 3,South Carolina,5902,,
District 3,Tennessee,9311,,
District 3,Texas,119741,10524,0.08788969525893386
District 3,Utah,13772,,
District 3,Virginia,18649,,
District 3,Washington,24021,,
District 3,West Virginia,3061,,
District 3,Wisconsin,15402,,
District 30,California,96010,,
District 30,Texas,14791,,
District 31,California,57841,,
District 31,Texas,38370,,
District 32,California,130545,,
District 32,Texas,62908,,
District 33,California,102989,,
District 33,Texas,16086,,
District 34,California,141622,24885,0.1757142251910014
District 34,Texas,4343,,
District 35,California,50787,,
District 35,Texas,11887,,
District 36,California,24466,,
District 36,Texas,14902,,
District 37,California,73573,,
District 38,California,110835,,
District 39,California,222606,,
District 4,Alabama,4190,,
District 4,Arizona,9268,,
District 4,Arkansas,4335,,
District 4,California,35799,,
District 4,Colorado,14960,,
District 4,Connecticut,38979,,
District 4,Florida,34808,,
District 4,Georgia,37602,,
District 4,Illinois,25028,,
District 4,Indiana,21632,,
District 4,Iowa,15658,,
District 4,Kansas,23819,,
District 4,Kentucky,8734,,
District 4,Louisiana,6602,,
District 4,Maryland,22440,,
District 4,Massachusetts,44547,,
District 4,Michigan,7053,,
District 4,Minnesota,85088,,
District 4,Mississippi,11226,,
District 4,Missouri,11083,,
District 4,Nevada,40611,,
District 4,New Jersey,31016,,
District 4,New York,47616,,
District 4,North Carolina,69430,,
District 4,Ohio,6076,,
District 4,Oklahoma,17890,,
District 4,Oregon,18307,,
District 4,Pennsylvania,17582,,
District 4,South Carolina,17112,,
District 4,Tennessee,12522,,
District 4,Texas,7715,,
District 4,Utah,24405,,
District 4,Virginia,13840,,
District 4,Washington,10996,,
District 4,Wisconsin,27820,,
District 40,California,18104,,
District 41,California,42088,,
District 42,California,71752,,
