County,State,Total Population,Total NHPI Alone,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
Hardin County,Kentucky,107699,326,,,,,,,,,,,
Harlan County,Kentucky,27548,,,,,,,,,,,,
Harrison County,Kentucky,18630,,,,,,,,,,,,
Hart County,Kentucky,18531,,,,,,,,,,,,
Henderson County,Kentucky,46252,,,,,,,,,,,,
Henry County,Kentucky,15677,,,,,,,,,,,,
Hickman County,Kentucky,4625,,,,,,,,,,,,
Hopkins County,Kentucky,45985,,,,,,,,,,,,
Jackson County,Kentucky,13369,,,,,,,,,,,,
Jefferson County,Kentucky,764378,,,,,,,,,,,,
Jessamine County,Kentucky,51667,,,,,,,,,,,,
Johnson County,Kentucky,23064,,,,,,,,,,,,
Kenton County,Kentucky,163987,,,,,,,,,,,,
Knott County,Kentucky,15690,,,,,,,,,,,,
Knox County,Kentucky,31424,,,,,,,,,,,,
Larue County,Kentucky,14102,,,,,,,,,,,,
Laurel County,Kentucky,59901,,,,,,,,,,,,
Lawrence County,Kentucky,15844,,,,,,,,,,,,
Lee County,Kentucky,6717,,,,,,,,,,,,
Leslie County,Kentucky,10648,,,,,,,,,,,,
Letcher County,Kentucky,23011,,,,,,,,,,,,
Lewis County,Kentucky,13565,,,,,,,,,,,,
Lincoln County,Kentucky,24413,,,,,,,,,,,,
Livingston County,Kentucky,9288,,,,,,,,,,,,
Logan County,Kentucky,26847,,,,,,,,,,,,
Lyon County,Kentucky,8268,,,,,,,,,,,,
McCracken County,Kentucky,65285,,,,,,,,,,,,
McCreary County,Kentucky,17748,,,,,,,,,,,,
McLean County,Kentucky,9361,,,,,,,,,,,,
Madison County,Kentucky,88376,,,,,,,,,,,,
Magoffin County,Kentucky,12783,,,,,,,,,,,,
Marion County,Kentucky,19335,,,,,,,,,,,,
Marshall County,Kentucky,31177,,,,,,,,,,,,
Martin County,Kentucky,12175,,,,,,,,,,,,
Mason County,Kentucky,17167,,,,,,,,,,,,
Meade County,Kentucky,28452,,,,,,,,,,,,
Menifee County,Kentucky,6381,,,,,,,,,,,,
Mercer County,Kentucky,21378,,,,,,,,,,,,
Metcalfe County,Kentucky,9990,,,,,,,,,,,,
Monroe County,Kentucky,10645,,,,,,,,,,,,
Montgomery County,Kentucky,27550,,,,,,,,,,,,
Morgan County,Kentucky,13281,,,,,,,,,,,,
Muhlenberg County,Kentucky,31153,,,,,,,,,,,,
Nelson County,Kentucky,45131,,,,,,,,,,,,
Nicholas County,Kentucky,7061,,,,,,,,,,,,
Ohio County,Kentucky,24062,,,,,,,,,,,,
Oldham County,Kentucky,64633,,,,,,,,,,,,
Owen County,Kentucky,10686,,,,,,,,,,,,
Owsley County,Kentucky,4497,,,,,,,,,,,,
Pendleton County,Kentucky,14530,,,,,,,,,,,,
Perry County,Kentucky,27329,,,,,,,,,,,,
Pike County,Kentucky,61586,,,,,,,,,,,,
Powell County,Kentucky,12349,,,,,,,,,,,,
Pulaski County,Kentucky,63974,,,,,,,,,,,,
Robertson County,Kentucky,2161,,,,,,,,,,,,
Rockcastle County,Kentucky,16815,,,,,,,,,,,,
Rowan County,Kentucky,24392,,,,,,,,,,,,
Russell County,Kentucky,17731,,,,,,,,,,,,
Scott County,Kentucky,52322,,,,,,,,,,,,
Shelby County,Kentucky,45831,,,,,,,,,,,,
Simpson County,Kentucky,17881,,,,,,,,,,,,
Spencer County,Kentucky,18012,,,,,,,,,,,,
Taylor County,Kentucky,25406,,,,,,,,,,,,
Todd County,Kentucky,12377,,,,,,,,,,,,
Trigg County,Kentucky,14286,,,,,,,,,,,,
Trimble County,Kentucky,8697,,,,,,,,,,,,
Union County,Kentucky,14915,,,,,,,,,,,,
Warren County,Kentucky,123824,296,,,,,,,,,,,
Washington County,Kentucky,11999,,,,,,,,,,,,
Wayne County,Kentucky,20692,,,,,,,,,,,,
Webster County,Kentucky,13180,,,,,,,,,,,,
Whitley County,Kentucky,36027,,,,,,,,,,,,
Wolfe County,Kentucky,7251,,,,,,,,,,,,
Woodford County,Kentucky,25817,,,,,,,,,,,,
Acadia Parish,Louisiana,62607,,,,,,,,,,,,
Allen Parish,Louisiana,25667,,,,,,,,,,,,
Ascension Parish,Louisiana,119129,,,,,,,,,,,,
Assumption Parish,Louisiana,22881,,,,,,,,,,,,
Avoyelles Parish,Louisiana,41095,,,,,,,,,,,,
Beauregard Parish,Louisiana,36598,,,,,,,,,,,,
Bienville Parish,Louisiana,13806,,,,,,,,,,,,
Bossier Parish,Louisiana,125698,,,,,,,,,,,,
Caddo Parish,Louisiana,251069,,,,,,,,,,,,
Calcasieu Parish,Louisiana,198753,,,,,,,,,,,,
Caldwell Parish,Louisiana,1e4,,,,,,,,,,,,
Cameron Parish,Louisiana,6806,,,,,,,,,,,,
Catahoula Parish,Louisiana,10044,,,,,,,,,,,,
Claiborne Parish,Louisiana,16296,,,,,,,,,,,,
Concordia Parish,Louisiana,20211,,,,,,,,,,,,
De Soto Parish,Louisiana,27164,,,,,,,,,,,,
East Baton Rouge Parish,Louisiana,446167,,,,,,,,,,,,
East Carroll Parish,Louisiana,7318,,,,,,,,,,,,
East Feliciana Parish,Louisiana,19553,,,,,,,,,,,,
Evangeline Parish,Louisiana,33750,,,,,,,,,,,,
Franklin Parish,Louisiana,20388,,,,,,,,,,,,
Grant Parish,Louisiana,22305,,,,,,,,,,,,
Iberia Parish,Louisiana,73346,,,,,,,,,,,,
Iberville Parish,Louisiana,33122,,,,,,,,,,,,
Jackson Parish,Louisiana,15952,,,,,,,,,,,,
Jefferson Parish,Louisiana,437038,,,,,,,,,,,,
Jefferson Davis Parish,Louisiana,31405,,,,,,,,,,,,
Lafayette Parish,Louisiana,238230,,,,,,,,,,,,
Lafourche Parish,Louisiana,98112,,,,,,,,,,,,
LaSalle Parish,Louisiana,14930,,,,,,,,,,,,
Lincoln Parish,Louisiana,47536,,,,,,,,,,,,
Livingston Parish,Louisiana,137096,,,,,,,,,,,,
Madison Parish,Louisiana,11616,,,,,,,,,,,,
Morehouse Parish,Louisiana,26290,,,,,,,,,,,,
Natchitoches Parish,Louisiana,39051,,,,,,,,,,,,
Orleans Parish,Louisiana,388182,,,,,,,,,,,,
Ouachita Parish,Louisiana,156433,,,,,,,,,,,,
Plaquemines Parish,Louisiana,23394,,,,,,,,,,,,
Pointe Coupee Parish,Louisiana,22271,,,,,,,,,,,,
Rapides Parish,Louisiana,132080,,,,,,,,,,,,
Red River Parish,Louisiana,8723,,,,,,,,,,,,
Richland Parish,Louisiana,20619,,,,,,,,,,,,
Sabine Parish,Louisiana,24145,,,,,,,,,,,,
St. Bernard Parish,Louisiana,45067,,,,,,,,,,,,
St. Charles Parish,Louisiana,52728,,,,,,,,,,,,
St. Helena Parish,Louisiana,10509,,,,,,,,,,,,
St. James Parish,Louisiana,21485,,,,,,,,,,,,
St. John the Baptist Parish,Louisiana,43565,,,,,,,,,,,,
St. Landry Parish,Louisiana,83580,,,,,,,,,,,,
St. Martin Parish,Louisiana,53609,,,,,,,,,,,,
St. Mary Parish,Louisiana,52578,,,,,,,,,,,,
St. Tammany Parish,Louisiana,249201,,,,,,,,,,,,
Tangipahoa Parish,Louisiana,128850,,,,,,,,,,,,
Tensas Parish,Louisiana,4771,,,,,,,,,,,,
Terrebonne Parish,Louisiana,113067,,,,,,,,,,,,
Union Parish,Louisiana,22537,,,,,,,,,,,,
Vermilion Parish,Louisiana,59841,,,,,,,,,,,,
Vernon Parish,Louisiana,51906,233,,,,,,,,,,,
Washington Parish,Louisiana,46449,,,,,,,,,,,,
Webster Parish,Louisiana,40043,,,,,,,,,,,,
West Baton Rouge Parish,Louisiana,25518,,,,,,,,,,,,
West Carroll Parish,Louisiana,11274,,,,,,,,,,,,
West Feliciana Parish,Louisiana,15376,,,,,,,,,,,,
Winn Parish,Louisiana,14631,,,,,,,,,,,,
Androscoggin County,Maine,107317,,,,,,,,,,,,
Aroostook County,Maine,68840,,,,,,,,,,,,
Cumberland County,Maine,289173,,,,,,,,,,,,
Franklin County,Maine,30177,,,,,,,,,,,,
Hancock County,Maine,54468,,,,,,,,,,,,
Kennebec County,Maine,121289,,,,,,,,,,,,
Knox County,Maine,39700,,,,,,,,,,,,
Lincoln County,Maine,34021,,,,,,,,,,,,
Oxford County,Maine,57230,,,,,,,,,,,,
Penobscot County,Maine,152284,,,,,,,,,,,,
Piscataquis County,Maine,16960,,,,,,,,,,,,
Sagadahoc County,Maine,35149,,,,,,,,,,,,
Somerset County,Maine,50994,,,,,,,,,,,,
Waldo County,Maine,39280,,,,,,,,,,,,
Washington County,Maine,31822,,,,,,,,,,,,
York County,Maine,201454,,,,,,,,,,,,
Allegany County,Maryland,72591,,,,,,,,,,,,
Anne Arundel County,Maryland,564600,,,,,,,,,,,,
Baltimore County,Maryland,828637,398,,,,,,,,,,,
Calvert County,Maryland,90824,,,,,,,,,,,,
Caroline County,Maryland,32785,,,,,,,,,,,,
Carroll County,Maryland,167319,,,,,,,,,,,,
Cecil County,Maryland,102416,,,,,,,,,,,,
Charles County,Maryland,156021,163,,,,,,,,,,,
Dorchester County,Maryland,32386,,,,,,,,,,,,
Frederick County,Maryland,246105,,,,,,,,,,,,
Garrett County,Maryland,29516,,,,,,,,,,,,
Harford County,Maryland,250132,,,,,,,,,,,,
Howard County,Maryland,312495,,,,,,,,,,,,
Kent County,Maryland,19666,,,,,,,,,,,,
Montgomery County,Maryland,1039198,,,,,,,,,,,,
Prince George's County,Maryland,905161,,,,,,,,,,,,
Queen Anne's County,Maryland,49071,,,,,,,,,,,,
St. Mary's County,Maryland,110979,,,,,,,,,,,,
Somerset County,Maryland,25801,,,,,,,,,,,,
Talbot County,Maryland,37461,,,,,,,,,,,,
Washington County,Maryland,149546,,,,,,,,,,,,
Wicomico County,Maryland,102014,,,,,,,,,,,,
Worcester County,Maryland,51559,,,,,,,,,,,,
Baltimore city,Maryland,619796,309,,,,,,,,,,,
Barnstable County,Massachusetts,213900,,,,,,,,,,,,
Berkshire County,Massachusetts,127751,,,,,,,,,,,,
Bristol County,Massachusetts,557016,,,,,,,,,,,,
Dukes County,Massachusetts,17275,,,,,,,,,,,,
Essex County,Massachusetts,775860,,,,,,,,,,,,
Franklin County,Massachusetts,70926,,,,,,,,,,,,
Hampden County,Massachusetts,469188,,,,,,,,,,,,
Hampshire County,Massachusetts,161197,,,,,,,,,,,,
Middlesex County,Massachusetts,1582857,,,,,,,,,,,,
Nantucket County,Massachusetts,10912,,,,,,,,,,,,
Norfolk County,Massachusetts,694389,,,,,,,,,,,,
Plymouth County,Massachusetts,509114,,,,,,,,,,,,
Suffolk County,Massachusetts,780685,,,,,,,,,,,,
Worcester County,Massachusetts,818249,,,,,,,,,,,,
Alcona County,Michigan,10413,,,,,,,,,,,,
Alger County,Michigan,9254,,,,,,,,,,,,
Allegan County,Michigan,114145,,,,,,,,,,,,
Alpena County,Michigan,28730,,,,,,,,,,,,
Antrim County,Michigan,23133,,,,,,,,,,,,
Arenac County,Michigan,15238,,,,,,,,,,,,
Baraga County,Michigan,8580,,,,,,,,,,,,
Barry County,Michigan,59607,,,,,,,,,,,,
Bay County,Michigan,105350,,,,,,,,,,,,
Benzie County,Michigan,17462,,,,,,,,,,,,
Berrien County,Michigan,154948,,,,,,,,,,,,
Branch County,Michigan,43543,,,,,,,,,,,,
Calhoun County,Michigan,134327,,,,,,,,,,,,
Cass County,Michigan,51397,,,,,,,,,,,,
Charlevoix County,Michigan,26160,,,,,,,,,,,,
Cheboygan County,Michigan,25475,,,,,,,,,,,,
Chippewa County,Michigan,38023,,,,,,,,,,,,
Clare County,Michigan,30597,,,,,,,,,,,,
Clinton County,Michigan,77321,,,,,,,,,,,,
Crawford County,Michigan,13821,,,,,,,,,,,,
Delta County,Michigan,36395,,,,,,,,,,,,
Dickinson County,Michigan,25694,,,,,,,,,,,,
Eaton County,Michigan,108586,,,,,,,,,,,,
Emmet County,Michigan,32978,,,,,,,,,,,,
Genesee County,Michigan,410881,,,,,,,,,,,,
Gladwin County,Michigan,25324,,,,,,,,,,,,
Gogebic County,Michigan,15577,,,,,,,,,,,,
Grand Traverse County,Michigan,91222,,,,,,,,,,,,
Gratiot County,Michigan,41319,,,,,,,,,,,,
Hillsdale County,Michigan,45909,,,,,,,,,,,,
Houghton County,Michigan,36333,,,,,,,,,,,,
Huron County,Michigan,31750,,,,,,,,,,,,
Ingham County,Michigan,286185,,,,,,,,,,,,
Ionia County,Michigan,64147,,,,,,,,,,,,
Iosco County,Michigan,25317,,,,,,,,,,,,
Iron County,Michigan,11291,,,,,,,,,,,,
Isabella County,Michigan,70572,,,,,,,,,,,,
Jackson County,Michigan,158989,,,,,,,,,,,,
Kalamazoo County,Michigan,259830,,,,,,,,,,,,
Kalkaska County,Michigan,17358,,,,,,,,,,,,
Kent County,Michigan,636376,,,,,,,,,,,,
Keweenaw County,Michigan,2136,,,,,,,,,,,,
Lake County,Michigan,11669,,,,,,,,,,,,
Lapeer County,Michigan,88205,,,,,,,,,,,,
Leelanau County,Michigan,21564,,,,,,,,,,,,
Lenawee County,Michigan,98585,,,,,,,,,,,,
Livingston County,Michigan,186946,119,,,,,,,,,,,
Luce County,Michigan,6406,,,,,,,,,,,,
Mackinac County,Michigan,10836,,,,,,,,,,,,
Macomb County,Michigan,864019,,,,,,,,,,,,
Manistee County,Michigan,24432,,,,,,,,,,,,
Marquette County,Michigan,67145,32,,,,,,,,,,,
Mason County,Michigan,28800,,,,,,,,,,,,
Mecosta County,Michigan,43181,,,,,,,,,,,,
Menominee County,Michigan,23389,,,,,,,,,,,,
Midland County,Michigan,83489,,,,,,,,,,,,
Missaukee County,Michigan,14982,,,,,,,,,,,,
Monroe County,Michigan,149619,,,,,,,,,,,,
Montcalm County,Michigan,62956,,,,,,,,,,,,
Montmorency County,Michigan,9290,,,,,,,,,,,,
Muskegon County,Michigan,172707,,,,,,,,,,,,
Newaygo County,Michigan,47899,,,,,,,,,,,,
Oakland County,Michigan,1241860,,,,,,,,,,,,
Oceana County,Michigan,26317,,,,,,,,,,,,
Ogemaw County,Michigan,20979,,,,,,,,,,,,
Ontonagon County,Michigan,6072,,,,,,,,,,,,
Osceola County,Michigan,23221,,,,,,,,,,,,
Oscoda County,Michigan,8304,,,,,,,,,,,,
Otsego County,Michigan,24247,,,,,,,,,,,,
Ottawa County,Michigan,280243,,,,,,,,,,,,
Presque Isle County,Michigan,12854,,,,,,,,,,,,
Roscommon County,Michigan,23934,,,,,,,,,,,,
Saginaw County,Michigan,193803,,,,,,,,,,,,
St. Clair County,Michigan,159761,,,,,,,,,,,,
St. Joseph County,Michigan,60890,,,,,,,,,,,,
Sanilac County,Michigan,41535,,,,,,,,,,,,
Schoolcraft County,Michigan,8114,,,,,,,,,,,,
Shiawassee County,Michigan,68617,,,,,,,,,,,,
Tuscola County,Michigan,53569,,,,,,,,,,,,
Van Buren County,Michigan,75190,,,,,,,,,,,,
Washtenaw County,Michigan,361509,,,,,,,,,,,,
Wayne County,Michigan,1763822,,,,,,,,,,,,
Wexford County,Michigan,32915,,,,,,,,,,,,
Aitkin County,Minnesota,15841,,,,,,,,,,,,
Anoka County,Minnesota,344861,,,,,,,,,,,,
Becker County,Minnesota,33552,,,,,,,,,,,,
Beltrami County,Minnesota,45847,,,,,,,,,,,,
Benton County,Minnesota,39360,,,,,,,,,,,,
Big Stone County,Minnesota,5039,,,,,,,,,,,,
Blue Earth County,Minnesota,65767,,,,,,,,,,,,
Brown County,Minnesota,25243,,,,,,,,,,,,
Carlton County,Minnesota,35408,,,,,,,,,,,,
Carver County,Minnesota,98799,,,,,,,,,,,,
Cass County,Minnesota,28810,,,,,,,,,,,,
Chippewa County,Minnesota,12040,124,,,,,,100,,,,,
Chisago County,Minnesota,54297,,,,,,,,,,,,
Clay County,Minnesota,62040,,,,,,,,,,,,
Clearwater County,Minnesota,8824,,,,,,,,,,,,
Cook County,Minnesota,5270,,,,,,,,,,,,
Cottonwood County,Minnesota,11437,,,,,,,,,,,,
Crow Wing County,Minnesota,63505,,,,,,,,,,,,
Dakota County,Minnesota,414655,,,,,,,,,,,,
Dodge County,Minnesota,20485,,,,,,,,,,,,
Douglas County,Minnesota,36891,,,,,,,,,,,,
Faribault County,Minnesota,13966,,,,,,,,,,,,
Fillmore County,Minnesota,20825,,,,,,,,,,,,
Freeborn County,Minnesota,30619,,,,,,,,,,,,
Goodhue County,Minnesota,46138,,,,,,,,,,,,
Grant County,Minnesota,5923,,,,,,,,,,,,
Hennepin County,Minnesota,1224763,457,,,,,,,,,,,
Houston County,Minnesota,18709,,,,,,,,,,,,
Hubbard County,Minnesota,20743,,,,,,,,,,,,
Isanti County,Minnesota,38584,,,,,,,,,,,,
Itasca County,Minnesota,45237,,,,,,,,,,,,
Jackson County,Minnesota,10104,,,,,,,,,,,,
Kanabec County,Minnesota,15948,,,,,,,,,,,,
Kandiyohi County,Minnesota,42577,,,,,,,,,,,,
Kittson County,Minnesota,4384,,,,,,,,,,,,
Koochiching County,Minnesota,12776,,,,,,,,,,,,
Lac qui Parle County,Minnesota,6840,,,,,,,,,,,,
Lake County,Minnesota,10578,,,,,,,,,,,,
Lake of the Woods County,Minnesota,3841,,,,,,,,,,,,
Le Sueur County,Minnesota,27810,,,,,,,,,,,,
Lincoln County,Minnesota,5724,,,,,,,,,,,,
Lyon County,Minnesota,25789,,,,,,,,,,,,
McLeod County,Minnesota,35816,,,,,,,,,,,,
Mahnomen County,Minnesota,5500,,,,,,,,,,,,
Marshall County,Minnesota,9397,,,,,,,,,,,,
Martin County,Minnesota,20084,,,,,,,,,,,,
Meeker County,Minnesota,23105,,,,,,,,,,,,
Mille Lacs County,Minnesota,25635,,,,,,,,,,,,
Morrison County,Minnesota,32880,,,,,,,,,,,,
Mower County,Minnesota,39386,,,,,,,,,,,,
Murray County,Minnesota,8394,,,,,,,,,,,,
Nicollet County,Minnesota,33477,,,,,,,,,,,,
Nobles County,Minnesota,21854,,,,,,,,,,,,
Norman County,Minnesota,6589,,,,,,,,,,,,
Olmsted County,Minnesota,151685,,,,,,,,,,,,
Otter Tail County,Minnesota,57790,,,,,,,,,,,,
Pennington County,Minnesota,14197,,,,,,,,,,,,
Pine County,Minnesota,29057,,,,,,,,,,,,
Pipestone County,Minnesota,9229,,,,,,,,,,,,
Polk County,Minnesota,31564,,,,,,,,,,,,
Pope County,Minnesota,10932,,,,,,,,,,,,
Ramsey County,Minnesota,537893,,,,,,,,,,,,
Red Lake County,Minnesota,4017,,,,,,,,,,,,
Redwood County,Minnesota,15430,,,,,,,,,,,,
Renville County,Minnesota,14798,,,,,,,,,,,,
Rice County,Minnesota,65251,,,,,,,,,,,,
Rock County,Minnesota,9433,,,,,,,,,,,,
Roseau County,Minnesota,15537,,,,,,,,,,,,
St. Louis County,Minnesota,200294,,,,,,,,,,,,
Scott County,Minnesota,141463,,,,,,,,,,,,
Sherburne County,Minnesota,92024,,,,,,,,,,,,
Sibley County,Minnesota,14888,,,,,,,,,,,,
Stearns County,Minnesota,155300,,,,,,,,,,,,
Steele County,Minnesota,36612,,,,,,,,,,,,
Stevens County,Minnesota,9759,,,,,,,,,,,,
Swift County,Minnesota,9448,,,,,,,,,,,,
Todd County,Minnesota,24423,,,,,,,,,,,,
Traverse County,Minnesota,3357,,,,,,,,,,,,
Wabasha County,Minnesota,21490,,,,,,,,,,,,
Wadena County,Minnesota,13626,,,,,,,,,,,,
Waseca County,Minnesota,18898,,,,,,,,,,,,
Washington County,Minnesota,250979,,,,,,,,,,,,
Watonwan County,Minnesota,10936,,,,,,,,,,,,
Wilkin County,Minnesota,6398,,,,,,,,,,,,
Winona County,Minnesota,50992,,,,,,,,,,,,
Wright County,Minnesota,131130,,,,,,,,,,,,
Yellow Medicine County,Minnesota,9930,,,,,,,,,,,,
Adams County,Mississippi,31583,,,,,,,,,,,,
Alcorn County,Mississippi,37242,,,,,,,,,,,,
Amite County,Mississippi,12574,,,,,,,,,,,,
Attala County,Mississippi,18731,,,,,,,,,,,,
Benton County,Mississippi,8306,,,,,,,,,,,,
Bolivar County,Mississippi,33121,,,,,,,,,,,,
Calhoun County,Mississippi,14617,,,,,,,,,,,,
Carroll County,Mississippi,10221,,,,,,,,,,,,
Chickasaw County,Mississippi,17305,,,,,,,,,,,,
Choctaw County,Mississippi,8360,,,,,,,,,,,,
Claiborne County,Mississippi,9106,,,,,,,,,,,,
Clarke County,Mississippi,16089,,,,,,,,,,,,
Clay County,Mississippi,19990,,,,,,,,,,,,
Coahoma County,Mississippi,24296,,,,,,,,,,,,
Copiah County,Mississippi,28748,,,,,,,,,,,,
Covington County,Mississippi,19172,,,,,,,,,,,,
DeSoto County,Mississippi,173267,,,,,,,,,,,,
Forrest County,Mississippi,75835,,,,,,,,,,,,
Franklin County,Mississippi,7772,,,,,,,,,,,,
George County,Mississippi,23545,,,,,,,,,,,,
Greene County,Mississippi,13801,,,,,,,,,,,,
Grenada County,Mississippi,21379,,,,,,,,,,,,
Hancock County,Mississippi,46277,,,,,,,,,,,,
Harrison County,Mississippi,200491,,,,,,,,,,,,
Hinds County,Mississippi,243249,,,,,,,,,,,,
Holmes County,Mississippi,18267,,,,,,,,,,,,
Humphreys County,Mississippi,8678,,,,,,,,,,,,
Issaquena County,Mississippi,1296,,,,,,,,,,,,
Itawamba County,Mississippi,23439,,,,,,,,,,,,
Jackson County,Mississippi,141314,,,,,,,,,,,,
Jasper County,Mississippi,16547,,,,,,,,,,,,
Jefferson County,Mississippi,7463,,,,,,,,,,,,
Jefferson Davis County,Mississippi,11639,,,,,,,,,,,,
Jones County,Mississippi,68328,,,,,,,,,,,,
Kemper County,Mississippi,10082,,,,,,,,,,,,
Lafayette County,Mississippi,52744,,,,,,,,,,,,
Lamar County,Mississippi,60517,,,,,,,,,,,,
Lauderdale County,Mississippi,78221,,,,,,,,,,,,
Lawrence County,Mississippi,12659,,,,,,,,,,,,
Leake County,Mississippi,22936,,,,,,,,,,,,
Lee County,Mississippi,84840,,,,,,,,,,,,
Leflore County,Mississippi,30113,,,,,,,,,,,,
Lincoln County,Mississippi,34542,,,,,,,,,,,,
Lowndes County,Mississippi,59558,,,,,,,,,,,,
Madison County,Mississippi,102212,,,,,,,,,,,,
Marion County,Mississippi,25466,,,,,,,,,,,,
Marshall County,Mississippi,35981,,,,,,,,,,,,
Monroe County,Mississippi,35967,,,,,,,,,,,,
Montgomery County,Mississippi,10309,,,,,,,,,,,,
Neshoba County,Mississippi,29437,,,,,,,,,,,,
Newton County,Mississippi,21437,,,,,,,,,,,,
Noxubee County,Mississippi,10942,,,,,,,,,,,,
Oktibbeha County,Mississippi,49392,,,,,,,,,,,,
Panola County,Mississippi,34229,,,,,,,,,,,,
Pearl River County,Mississippi,55049,,,,,,,,,,,,
Perry County,Mississippi,12047,,,,,,,,,,,,
Pike County,Mississippi,39763,,,,,,,,,,,,
Pontotoc County,Mississippi,31075,,,,,,,,,,,,
Prentiss County,Mississippi,25389,,,,,,,,,,,,
Quitman County,Mississippi,7537,,,,,,,,,,,,
Rankin County,Mississippi,149645,,,,,,,,,,,,
Scott County,Mississippi,28399,,,,,,,,,,,,
Sharkey County,Mississippi,4631,,,,,,,,,,,,
Simpson County,Mississippi,27215,,,,,,,,,,,,
Smith County,Mississippi,16114,,,,,,,,,,,,
Stone County,Mississippi,17981,,,,,,,,,,,,
Sunflower County,Mississippi,26915,,,,,,,,,,,,
Tallahatchie County,Mississippi,14552,,,,,,,,,,,,
Tate County,Mississippi,28333,,,,,,,,,,,,
Tippah County,Mississippi,21993,,,,,,,,,,,,
Tishomingo County,Mississippi,19476,,,,,,,,,,,,
Tunica County,Mississippi,10276,,,,,,,,,,,,
Union County,Mississippi,28202,,,,,,,,,,,,
Walthall County,Mississippi,14670,,,,,,,,,,,,
Warren County,Mississippi,47510,,,,,,,,,,,,
Washington County,Mississippi,48002,,,,,,,,,,,,
Wayne County,Mississippi,20458,,,,,,,,,,,,
Webster County,Mississippi,9868,,,,,,,,,,,,
Wilkinson County,Mississippi,9084,,,,,,,,,,,,
Winston County,Mississippi,18482,,,,,,,,,,,,
Yalobusha County,Mississippi,12426,,,,,,,,,,,,
Yazoo County,Mississippi,27496,,,,,,,,,,,,
Adair County,Missouri,25437,,,,,,,,,,,,
Andrew County,Missouri,17358,,,,,,,,,,,,
Atchison County,Missouri,5335,,,,,,,,,,,,
Audrain County,Missouri,25763,,,,,,,,,,,,
Barry County,Missouri,35398,,,,,,,,,,,,
Barton County,Missouri,11942,,,,,,,,,,,,
Bates County,Missouri,16405,,,,,,,,,,,,
Benton County,Missouri,18918,,,,,,,,,,,,
Bollinger County,Missouri,12347,,,,,,,,,,,,
Boone County,Missouri,174589,211,,,,,,,,,,,
Buchanan County,Missouri,89425,,,,,,,,,,,,
Butler County,Missouri,42826,,,,,,,,,,,,
Caldwell County,Missouri,9046,,,,,,,,,,,,
Callaway County,Missouri,44793,,,,,,,,,,,,
Camden County,Missouri,44855,,,,,,,,,,,,
Cape Girardeau County,Missouri,78013,,,,,,,,,,,,
Carroll County,Missouri,8909,,,,,,,,,,,,
Carter County,Missouri,6255,,,,,,,,,,,,
Cass County,Missouri,101888,,,,,,,,,,,,
Cedar County,Missouri,13862,,,,,,,,,,,,
Chariton County,Missouri,7586,,,,,,,,,,,,
Christian County,Missouri,83028,,,,,,,,,,,,
Clark County,Missouri,6807,,,,,,,,,,,,
Clay County,Missouri,236068,,,,,,,,,,,,
Clinton County,Missouri,20495,,,,,,,,,,,,
Cole County,Missouri,76749,,,,,,,,,,,,
Cooper County,Missouri,17620,,,,,,,,,,,,
Crawford County,Missouri,24387,,,,,,,,,,,,
Dade County,Missouri,7581,,,,,,,,,,,,
Dallas County,Missouri,16441,,,,,,,,,,,,
Daviess County,Missouri,8300,,,,,,,,,,,,
DeKalb County,Missouri,12564,,,,,,,,,,,,
Dent County,Missouri,15566,,,,,,,,,,,,
Douglas County,Missouri,13391,,,,,,,,,,,,
Dunklin County,Missouri,30905,,,,,,,,,,,,
Franklin County,Missouri,102413,,,,,,,,,,,,
Gasconade County,Missouri,14769,,,,,,,,,,,,
Gentry County,Missouri,6688,,,,,,,,,,,,
Greene County,Missouri,286759,,,,,,,,,,,,
Grundy County,Missouri,10111,,,,,,,,,,,,
Harrison County,Missouri,8615,,,,,,,,,,,,
Henry County,Missouri,21834,,,,,,,,,,,,
Hickory County,Missouri,9352,,,,,,,,,,,,
Holt County,Missouri,4499,,,,,,,,,,,,
Howard County,Missouri,10144,,,,,,,,,,,,
Howell County,Missouri,40139,,,,,,,,,,,,
Iron County,Missouri,10286,,,,,,,,,,,,
Jackson County,Missouri,688554,1857,,,,,,,,,,,
Jasper County,Missouri,118522,,,,,,,,,,,,
Jefferson County,Missouri,222639,,,,,,,,,,,,
Johnson County,Missouri,53941,170,,,,,,,,,,,
Knox County,Missouri,3976,,,,,,,,,,,,
Laclede County,Missouri,35488,,,,,,,,,,,,
Lafayette County,Missouri,32655,,,,,,,,,,,,
Lawrence County,Missouri,38131,,,,,,,,,,,,
Lewis County,Missouri,10078,,,,,,,,,,,,
Lincoln County,Missouri,54800,,,,,,,,,,,,
Linn County,Missouri,12248,,,,,,,,,,,,
Livingston County,Missouri,15025,,,,,,,,,,,,
McDonald County,Missouri,22753,353,,,,,,,,,,,
Macon County,Missouri,15319,,,,,,,,,,,,
Madison County,Missouri,12226,,,,,,,,,,,,
Maries County,Missouri,8959,,,,,,,,,,,,
Marion County,Missouri,28703,,,,,,,,,,,,
Mercer County,Missouri,3669,,,,,,,,,,,,
Miller County,Missouri,24947,,,,,,,,,,,,
