County,State,Total Population,Total NHPI Alone,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
Arkansas County,Arkansas,18352,,,,,,,,,,,,
Ashley County,Arkansas,20771,,,,,,,,,,,,
Baxter County,Arkansas,41093,,,,,,,,,,,,
Benton County,Arkansas,251823,1180,,,75.59,,,,,,,,
Boone County,Arkansas,37212,,,,,,,,,,,,
Bradley County,Arkansas,10994,,,,,,,,,,,,
Calhoun County,Arkansas,5194,,,,,,,,,,,,
Carroll County,Arkansas,27782,177,,,97.18,,,,,,,,
Chicot County,Arkansas,11008,,,,,,,,,,,,
Clark County,Arkansas,22495,,,,,,,,,,,,
Clay County,Arkansas,15190,,,,,,,,,,,,
Cleburne County,Arkansas,25361,,,,,,,,,,,,
Cleveland County,Arkansas,8332,,,,,,,,,,,,
Columbia County,Arkansas,23992,,,,,,,,,,,,
Conway County,Arkansas,20954,,,,,,,,,,,,
Craighead County,Arkansas,104246,,,,,,,,,,,,
Crawford County,Arkansas,62119,,,,,,,,,,,,
Crittenden County,Arkansas,49278,,,,,,,,,,,,
Cross County,Arkansas,17164,,,,,,,,,,,,
Dallas County,Arkansas,7585,,,,,,,,,,,,
Desha County,Arkansas,12094,,,,,,,,,,,,
Drew County,Arkansas,18620,,,,,,,,,,,,
Faulkner County,Arkansas,121282,,,,,,,,,,,,
Franklin County,Arkansas,17803,,,,,,,,,,,,
Fulton County,Arkansas,12092,,,,,,,,,,,,
Garland County,Arkansas,97994,,,,,,,,,,,,
Grant County,Arkansas,18076,,,,,,,,,,,,
Greene County,Arkansas,44197,,,,,,,,,,,,
Hempstead County,Arkansas,22154,,,,,,,,,,,,
Hot Spring County,Arkansas,33480,,,,,,,,,,,,
Howard County,Arkansas,13472,,,,,,,,,,,,
Independence County,Arkansas,37097,,,,,,,,,,,,
Izard County,Arkansas,13521,,,,,,,,,,,,
Jackson County,Arkansas,17429,,,,,,,,,,,,
Jefferson County,Arkansas,71373,,,,,,,,,,,,
Johnson County,Arkansas,26155,,,,,,,,,,,,
Lafayette County,Arkansas,7051,,,,,,,,,,,,
Lawrence County,Arkansas,16777,,,,,,,,,,,,
Lee County,Arkansas,9614,,,,,,,,,,,,
Lincoln County,Arkansas,13885,,,,,,,,,,,,
Little River County,Arkansas,12494,,,,,,,,,,,,
Logan County,Arkansas,21802,,,,,,,,,,,,
Lonoke County,Arkansas,71568,,,,,,,,,,,,
Madison County,Arkansas,15907,,,,,,,,,,,,
Marion County,Arkansas,16374,,,,,,,,,,,,
Miller County,Arkansas,43760,,,,,,,,,,,,
Mississippi County,Arkansas,43534,,,,,,,,,,,,
Monroe County,Arkansas,7420,,,,,,,,,,,,
Montgomery County,Arkansas,9059,,,,,,,,,,,,
Nevada County,Arkansas,8528,,,,,,,,,,,,
Newton County,Arkansas,7898,,,,,,,,,,,,
Ouachita County,Arkansas,24378,,,,,,,,,,,,
Perry County,Arkansas,10320,,,,,,,,,,,,
Phillips County,Arkansas,19518,,,,,,,,,,,,
Pike County,Arkansas,10893,,,,,,,,,,,,
Poinsett County,Arkansas,24098,,,,,,,,,,,,
Polk County,Arkansas,20212,,,,,,,,,,,,
Pope County,Arkansas,63372,,,,,,,,,,,,
Prairie County,Arkansas,8309,,,,,,,,,,,,
Pulaski County,Arkansas,392848,,,,,,,,,,,,
Randolph County,Arkansas,17514,,,,,,,,,,,,
St. Francis County,Arkansas,26688,,,,,,,,,,,,
Saline County,Arkansas,116252,,,,,,,,,,,,
Scott County,Arkansas,10584,,,,,,,,,,,,
Searcy County,Arkansas,7925,,,,,,,,,,,,
Sebastian County,Arkansas,127362,,,,,,,,,,,,
Sevier County,Arkansas,17206,,,,,,,,,,,,
Sharp County,Arkansas,17041,,,,,,,,,,,,
Stone County,Arkansas,12443,,,,,,,,,,,,
Union County,Arkansas,40022,,,,,,,,,,,,
Van Buren County,Arkansas,16751,,,,,,,,,,,,
Washington County,Arkansas,223683,4483,,,93.91,,,,,,,,
White County,Arkansas,78706,,,,,,,,,,,,
Woodruff County,Arkansas,6763,,,,,,,,,,,,
Yell County,Arkansas,21601,,,,,,,,,,,,
Alameda County,California,1629615,13652,20.49,12.86,,20.5,,,,,23.96,,
Alpine County,California,1203,,,,,,,,,,,,
Amador County,California,37306,,,,,,,,,,,,
Butte County,California,225207,,,,,,,,,,,,
Calaveras County,California,45057,,,,,,,,,,,,
Colusa County,California,21479,,,,,,,,,,,,
Contra Costa County,California,1123678,5542,,,,,,,,,,,
Del Norte County,California,27442,,,,,,,,,,,,
El Dorado County,California,185015,,,,,,,,,,,,
Fresno County,California,971616,1947,,,,,,,,,,,
Glenn County,California,27935,,,,,,,,,,,,
Humboldt County,California,135490,,,,,,,,,,,,
Imperial County,California,179957,,,,,,,,,,,,
Inyo County,California,18195,34,,,,,,,,,,,
Kern County,California,878744,,,,,,,,,,,,
Kings County,California,150183,367,,,,,,,,,,,
Lake County,California,64095,,,,,,,,,,,,
Lassen County,California,31470,219,,,,,,,,,,,
Los Angeles County,California,10105722,27691,,12.22,,19.49,,,,,40.89,,
Madera County,California,154440,,,,,,,,,,,,
Marin County,California,260814,,,,,,,,,,,,
Mariposa County,California,17658,,,,,,,,,,,,
Mendocino County,California,87497,186,,,,,,,,,,,
Merced County,California,267390,,,,,,,,,,,,
Modoc County,California,9017,,,,,,,,,,,,
Mono County,California,14058,,,,,,,,,,,,
Monterey County,California,433168,2038,,,,,,,,,,,
Napa County,California,141005,,,,,,,,,,,,
Nevada County,California,98838,,,,,,,,,,,,
Orange County,California,3155816,9620,,15.62,,,,,,,34.49,,
Placer County,California,374985,,,,,,,,,,,,
Plumas County,California,18724,,,,,,,,,,,,
Riverside County,California,2355002,6863,,,,,,,,,31.27,,
Sacramento County,California,1495400,16019,54.52,,,5.42,,,,,,,
San Benito County,California,58671,,,,,,,,,,,,
San Bernardino County,California,2121220,6660,,,,,,,,,,,
San Diego County,California,3283665,14182,,34.68,,17.12,,,,,26.72,,
San Francisco County,California,864263,3226,,,,,,,,,,,
San Joaquin County,California,724153,4233,,,,,,,,,,,
San Luis Obispo County,California,280119,,,,,,,,,,,,
