District,State,Asian Alone Total,Asian Alone LEP,LEP Share Asian Alone,NHPI Alone Total,NHPI Alone LEP,LEP Share NHPI Alone
District 19,Texas,9700,3167,42.78,374,,
District 2,Alabama,7086,3416,60.96,129,,
District 2,Arizona,20861,6236,44.45,1634,,
District 2,Arkansas,11306,3517,39.97,327,,
District 2,California,26072,7012,44.75,1426,,
District 2,Colorado,23434,6036,38.25,766,,
District 2,Connecticut,22221,7394,44.21,92,,
District 2,Florida,11410,2747,32.36,580,,
District 2,Georgia,7496,2616,46.84,573,,
District 2,Hawaii,177406,36783,51.8,79741,6570,32.39
District 2,Idaho,11523,3438,46.42,1115,,
District 2,Illinois,4830,1330,34.95,81,,
District 2,Indiana,8545,2414,39.39,431,,
District 2,Iowa,17255,6773,53.26,379,,
District 2,Kansas,10617,3380,43.86,398,,
District 2,Kentucky,9058,3814,54.72,676,,
District 2,Louisiana,20043,9582,57.27,186,,
District 2,Maine,4529,1366,45.19,153,,
District 2,Maryland,38767,12482,41.62,238,,
District 2,Massachusetts,38828,14120,45.81,223,,
District 2,Michigan,15867,7041,58.71,142,,
District 2,Minnesota,29917,9084,42.11,348,,
District 2,Mississippi,3575,,,107,,
District 2,Missouri,31468,8449,34.54,139,,
District 2,Nebraska,19490,8076,52.55,356,,
District 2,Nevada,26696,7653,41.97,2994,,
District 2,New Hampshire,16328,4441,35.47,173,,
District 2,New Jersey,27950,12084,52.28,228,,
District 2,New Mexico,5159,,,200,,
District 2,New York,21247,6131,41.74,258,,
District 2,North Carolina,13627,3191,34.17,370,,
District 2,Ohio,9301,2461,37,178,,
District 2,Oklahoma,4065,1483,48.02,1074,,
District 2,Oregon,7940,2065,51.04,1811,,
District 2,Pennsylvania,35319,11707,44.94,421,,
District 2,Rhode Island,15632,5048,41.39,182,,
District 2,South Carolina,12335,4122,44.15,606,,
District 2,Tennessee,10926,3341,42.53,408,,
District 2,Texas,56076,18573,40.61,1009,,
District 2,Utah,17483,5452,45.82,7885,,
District 2,Virginia,38517,11257,41.66,781,,
District 2,Washington,57659,19667,46.34,3791,,
District 2,West Virginia,4867,,,173,,
District 2,Wisconsin,29423,9149,41.05,264,,
District 20,California,37456,9522,41.01,2203,,
District 20,Florida,19415,6787,47.93,147,,
District 20,New York,34178,10568,42.1,234,,
District 20,Texas,22809,7241,43.44,1236,,
District 21,California,21405,7370,46.2,1337,,
District 21,Florida,18679,5557,41.4,308,,
District 21,New York,6500,1940,44.27,505,,
District 21,Texas,25640,6048,32.78,520,,
District 22,California,55489,18488,46.38,1334,,
District 22,Florida,23014,6250,40.64,252,,
District 22,New York,18272,7717,52.97,289,,
District 22,Texas,141859,40389,35.13,122,,
District 23,California,36173,12073,45.46,1129,,
District 23,Florida,29642,8057,39.42,602,,
District 23,New York,16620,4060,34.81,114,,
District 23,Texas,9463,2108,31.84,267,,
District 24,California,33281,9023,43.09,979,,
District 24,Florida,9370,2648,39.47,326,,
District 24,New York,18580,7316,49.89,172,,
District 24,Texas,94576,25918,33.21,2101,,
District 25,California,56358,13302,35.9,1174,,
District 25,Florida,8174,2997,46.36,165,,
District 25,New York,25628,9482,48.29,176,,
District 25,Texas,21293,3844,27.28,2188,,
District 26,California,47449,11934,37.17,1399,,
District 26,Florida,13600,3514,37.23,49,,
District 26,New York,26995,10170,44.11,225,,
District 26,Texas,46844,12844,35.5,423,,
District 27,California,264491,128538,58.58,1412,,
District 27,Florida,14144,4057,40.25,290,,
District 27,New York,7290,1719,37.96,259,,
District 27,Texas,11081,3766,45.1,362,,
District 28,California,92744,29474,43.01,885,,
District 28,Texas,7498,2793,48.74,346,,
District 29,California,54069,18243,42.25,710,,
District 29,Texas,11134,4345,48.29,208,,
District 3,Alabama,11208,4752,55.06,221,,
District 3,Arizona,12739,4097,44.41,864,,
District 3,Arkansas,20986,6409,47.52,5293,3069,66.64
District 3,California,77898,23275,42.1,3698,,
District 3,Colorado,5291,,,712,,
District 3,Connecticut,29314,7736,35.19,127,,
District 3,Florida,23285,6499,39.56,406,,
District 3,Georgia,13119,4294,43.97,312,,
District 3,Illinois,29680,13579,55.18,82,,
District 3,Indiana,14051,6259,56.95,183,,
District 3,Iowa,23390,9017,51.43,571,,
District 3,Kansas,31386,9946,39.8,375,,
District 3,Kentucky,18160,6383,46.36,333,,
District 3,Louisiana,10825,4902,53.86,32,,
District 3,Maryland,52062,15959,40.78,546,,
District 3,Massachusetts,55412,18097,41.95,270,,
District 3,Michigan,13024,4828,52.67,135,,
District 3,Minnesota,46730,13367,37.48,368,,
District 3,Mississippi,7225,1999,34.76,108,,
District 3,Missouri,7279,1573,32.25,333,,
District 3,Nebraska,4357,1643,58.83,626,,
District 3,Nevada,101325,25378,37.1,6045,,
District 3,New Jersey,25554,6513,34.76,280,,
District 3,New Mexico,8234,1566,30.46,614,,
District 3,New York,105494,38900,45.57,205,,
District 3,North Carolina,10568,3895,50.28,863,,
District 3,Ohio,28605,11768,50.11,415,,
District 3,Oklahoma,10603,3198,43.69,1655,,
District 3,Oregon,53507,22810,58.03,4620,,
District 3,Pennsylvania,6615,2599,54.91,144,,
District 3,South Carolina,5719,1756,49.2,263,,
District 3,Tennessee,8793,2726,43.7,280,,
District 3,Texas,111670,32250,36.19,592,,
District 3,Utah,13050,3485,40.3,4346,,
District 3,Virginia,18106,6218,47.32,599,,
District 3,Washington,23075,7015,45.13,3461,,
District 3,West Virginia,2945,,,156,,
District 3,Wisconsin,14258,5058,46.66,419,,
District 30,California,91409,27065,40.69,1091,,
District 30,Texas,14441,5217,46.15,205,,
District 31,California,54593,18348,44.71,1839,,
District 31,Texas,35893,9205,34.8,2202,,
District 32,California,124287,60225,57.62,1580,,
District 32,Texas,59154,22517,47.54,299,,
District 33,California,98470,26028,39.79,1125,,
District 33,Texas,15072,7959,58.96,331,,
District 34,California,136529,70491,60.13,1694,,
District 34,Texas,4230,,,114,,
District 35,California,48818,18243,48.27,2418,,
District 35,Texas,11638,4139,49.44,436,,
District 36,California,23789,7551,45.18,987,,
District 36,Texas,14197,4524,41.6,334,,
District 37,California,71217,19803,39.48,934,,
District 38,California,106380,40651,49.71,1785,,
District 39,California,211046,85076,51.03,2279,,
District 4,Alabama,3916,1412,50.16,695,,
District 4,Arizona,9048,2584,49.51,1124,,
District 4,Arkansas,4012,,,270,,
District 4,California,34286,7414,35.2,1695,,
District 4,Colorado,13965,3299,36.13,760,,
District 4,Connecticut,36708,9932,35.99,218,,
