County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Wells County,Indiana,27832,,,,,,,,,,,,,,,,,,,,,,,,,
White County,Indiana,24279,,,,,,,,,,,,,,,,,,,,,,,,,
Whitley County,Indiana,33481,,,,,,,,,,,,,,,,,,,,,,,,,
Adair County,Iowa,7192,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Iowa,3785,,,,,,,,,,,,,,,,,,,,,,,,,
Allamakee County,Iowa,13940,,,,,,,,,,,,,,,,,,,,,,,,,
Appanoose County,Iowa,12547,,,,,,,,,,,,,,,,,,,,,,,,,
Audubon County,Iowa,5711,,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Iowa,25646,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hawk County,Iowa,132960,2733,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,Iowa,26381,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer County,Iowa,24741,274,,,,,,,,,,,,,,,,,,,,,,,,
Buchanan County,Iowa,21101,,,,,,,,,,,,,,,,,,,,,,,,,
Buena Vista County,Iowa,20369,1849,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Iowa,14822,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Iowa,9814,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll County,Iowa,20428,,,,,,,,,,,,,,,,,,,,,,,,,
Cass County,Iowa,13327,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar County,Iowa,18368,,,,,,,,,,,,,,,,,,,,,,,,,
Cerro Gordo County,Iowa,43134,487,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee County,Iowa,11577,,,,,,,,,,,,,,,,,,,,,,,,,
Chickasaw County,Iowa,12140,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke County,Iowa,9267,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,Iowa,16387,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton County,Iowa,17711,79,,,,,,,,,,,,,,,,,,,,,,,,
Clinton County,Iowa,47587,333,,,,,,,,,,,,,,,,,,,,,,,,
Crawford County,Iowa,17131,317,,,,94.64,,,,,,,,,,,,,,,,,,,,
Dallas County,Iowa,80864,3407,57.47,,,,,,,,,,,,,,,,,,,,,,,
Davis County,Iowa,8834,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur County,Iowa,8105,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware County,Iowa,17326,67,,,,,,,,,,,,,,,,,,,,,,,,
Des Moines County,Iowa,39876,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson County,Iowa,17e3,,,,,,,,,,,,,,,,,,,,,,,,,
Dubuque County,Iowa,96571,1209,,,,,,,,,,,,,,,,,,,,,,,,
Emmet County,Iowa,9661,,,,,,,,,,,,,,,,,,,,,,,,,
Fayette County,Iowa,20139,184,,,,,,,,,,,,,,,,,,,,,,,,
Floyd County,Iowa,15904,272,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County,Iowa,10326,,,,,,,,,,,,,,,,,,,,,,,,,
Fremont County,Iowa,6985,,,,,,,,,,,,,,,,,,,,,,,,,
Greene County,Iowa,9046,,,,,,,,,,,,,,,,,,,,,,,,,
Grundy County,Iowa,12354,,,,,,,,,,,,,,,,,,,,,,,,,
Guthrie County,Iowa,10664,29,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton County,Iowa,15201,459,,,,,,,,,,,,,,,,,,,,,,,,
Hancock County,Iowa,10971,,,,,,,,,,,,,,,,,,,,,,,,,
Hardin County,Iowa,17239,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison County,Iowa,14196,,,,,,,,,,,,,,,,,,,,,,,,,
Henry County,Iowa,19865,511,,,,,,,,,,,,,,,,,,,,,,,,
Howard County,Iowa,9321,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,Iowa,9586,,,,,,,,,,,,,,,,,,,,,,,,,
Ida County,Iowa,6965,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa County,Iowa,16231,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,Iowa,19409,89,,,,,,,,,,,,,,,,,,,,,,,,
Jasper County,Iowa,36789,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Iowa,17945,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson County,Iowa,144425,8984,,,,,,41.18,,,,,,,,,,,,,,,,,,
Jones County,Iowa,20468,,,,,,,,,,,,,,,,,,,,,,,,,
Keokuk County,Iowa,10223,,,,,,,,,,,,,,,,,,,,,,,,,
Kossuth County,Iowa,15166,,,,,,,,,,,,,,,,,,,,,,,,,
Lee County,Iowa,34785,210,,,,,,,,,,,,,,,,,,,,,,,,
Linn County,Iowa,220008,4991,29.19,,,,,,,,,,,,,,,,,,,,,,,
Louisa County,Iowa,11238,442,,,,88.01,,,,,,,,,,,,,,,,,,,,
Lucas County,Iowa,8600,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Iowa,11745,,,,,,,,,,,,,,,,,,,,,,,,,
Madison County,Iowa,15720,,,,,,,,,,,,,,,,,,,,,,,,,
Mahaska County,Iowa,22301,297,,,,,,,,,,,,,,,,,,,,,,,,
Marion County,Iowa,33127,378,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County,Iowa,40476,1326,,,,,,,,,,,,,,,,,,,,,,,,
Mills County,Iowa,14933,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell County,Iowa,10663,,,,,,,,,,,,,,,,,,,,,,,,,
Monona County,Iowa,8865,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe County,Iowa,7912,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery County,Iowa,10239,,,,,,,,,,,,,,,,,,,,,,,,,
Muscatine County,Iowa,42923,477,,,,,,,,,,,,,,,,,,,,,,,,
O'Brien County,Iowa,13944,124,,,,,,,,,,,,,,,,,,,,,,,,
Osceola County,Iowa,6149,,,,,,,,,,,,,,,,,,,,,,,,,
Page County,Iowa,15393,170,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto County,Iowa,9110,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth County,Iowa,25027,,,,,,,,,,,,,,,,,,,,,,,,,
Pocahontas County,Iowa,6972,,,,,,,,,,,,,,,,,,,,,,,,,
Polk County,Iowa,467235,20321,16.15,,,,,,,,,,,,,,,,,,,,,,,19.55
Pottawattamie County,Iowa,93287,569,,,,,,,,,,,,,,,,,,,,,,,,
Poweshiek County,Iowa,18428,374,,,,,,,,,,,,,,,,,,,,,,,,
Ringgold County,Iowa,4986,,,,,,,,,,,,,,,,,,,,,,,,,
Sac County,Iowa,9936,,,,,,,,,,,,,,,,,,,,,,,,,
Scott County,Iowa,171493,4364,34.21,,,,,,,,,,,,,,,,,,,,,,,
Shelby County,Iowa,11772,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux County,Iowa,34692,,,,,,,,,,,,,,,,,,,,,,,,,
Story County,Iowa,95888,7026,,,,,,50.85,,,,,,,,,,,,,,,,,,
Tama County,Iowa,17236,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor County,Iowa,6214,,,,,,,,,,,,,,,,,,,,,,,,,
Union County,Iowa,12497,82,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren County,Iowa,7308,,,,,,,,,,,,,,,,,,,,,,,,,
Wapello County,Iowa,35321,330,,,,,,,,,,,,,,,,,,,,,,,,
Warren County,Iowa,48630,,,,,,,,,,,,,,,,,,,,,,,,,
Washington County,Iowa,22095,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne County,Iowa,6405,,,,,,,,,,,,,,,,,,,,,,,,,
Webster County,Iowa,36945,487,,,,,,,,,,,,,,,,,,,,,,,,
Winnebago County,Iowa,10545,129,,,,,,,,,,,,,,,,,,,,,,,,
Winneshiek County,Iowa,20575,,,,,,,,,,,,,,,,,,,,,,,,,
Woodbury County,Iowa,102397,2897,,,,,,,,,,,,,,,,,,,,,,,,53.26
Worth County,Iowa,7502,,,,,,,,,,,,,,,,,,,,,,,,,
Wright County,Iowa,12864,,,,,,,,,,,,,,,,,,,,,,,,,
Allen County,Kansas,12752,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County,Kansas,7840,,,,,,,,,,,,,,,,,,,,,,,,,
Atchison County,Kansas,16466,,,,,,,,,,,,,,,,,,,,,,,,,
Barber County,Kansas,4905,,,,,,,,,,,,,,,,,,,,,,,,,
Barton County,Kansas,27067,,,,,,,,,,,,,,,,,,,,,,,,,
Bourbon County,Kansas,14757,,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Kansas,9736,57,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Kansas,66260,767,,,,,,,,,,,,,,,,,,,,,,,,
Chase County,Kansas,2665,,,,,,,,,,,,,,,,,,,,,,,,,
Chautauqua County,Kansas,3425,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee County,Kansas,20501,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne County,Kansas,2677,,,,,,,,,,,,,,,,,,,,,,,,,
Clark County,Kansas,2089,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,Kansas,8203,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud County,Kansas,9191,,,,,,,,,,,,,,,,,,,,,,,,,
Coffey County,Kansas,8328,,,,,,,,,,,,,,,,,,,,,,,,,
Comanche County,Kansas,1741,,,,,,,,,,,,,,,,,,,,,,,,,
Cowley County,Kansas,35732,572,,,,,,,,,,,,,,,,,,,,,,,,
Crawford County,Kansas,39099,695,,,,,,,,,,,,,,,,,,,,,,,,
Decatur County,Kansas,2891,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson County,Kansas,19162,,,,,,,,,,,,,,,,,,,,,,,,,
Doniphan County,Kansas,7790,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Kansas,117806,5717,,,,,,33.32,,,,,,,,,,,,,,,,,,
Edwards County,Kansas,2946,,,,,,,,,,,,,,,,,,,,,,,,,
Elk County,Kansas,2581,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis County,Kansas,28877,,,,,,,,,,,,,,,,,,,,,,,,,
Ellsworth County,Kansas,6331,,,,,,,,,,,,,,,,,,,,,,,,,
Finney County,Kansas,37097,1456,,,,,,,,,,,,,,,,,,,,,,,,
Ford County,Kansas,34658,493,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County,Kansas,25599,,,,,,,,,,,,,,,,,,,,,,,,,
Geary County,Kansas,35796,1119,,,,,,,,,,,,,,,,,,,,,,,,
Gove County,Kansas,2632,,,,,,,,,,,,,,,,,,,,,,,,,
Graham County,Kansas,2561,,,,,,,,,,,,,,,,,,,,,,,,,
Grant County,Kansas,7716,,,,,,,,,,,,,,,,,,,,,,,,,
Gray County,Kansas,6004,,,,,,,,,,,,,,,,,,,,,,,,,
Greeley County,Kansas,1210,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood County,Kansas,6227,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton County,Kansas,2621,,,,,,,,,,,,,,,,,,,,,,,,,
Harper County,Kansas,5746,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey County,Kansas,34683,211,,,,,,,,,,,,,,,,,,,,,,,,
Haskell County,Kansas,4081,,,,,,,,,,,,,,,,,,,,,,,,,
Hodgeman County,Kansas,1875,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,Kansas,13322,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Kansas,18856,,,,,,,,,,,,,,,,,,,,,,,,,
Jewell County,Kansas,2963,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson County,Kansas,578797,27519,40.13,,,,,15.45,,,,,7.87,,,,,,,,,,,,,8.06
Kearny County,Kansas,3931,,,,,,,,,,,,,,,,,,,,,,,,,
Kingman County,Kansas,7576,,,,,,,,,,,,,,,,,,,,,,,,,
Kiowa County,Kansas,2524,31,,,,,,,90.32,,,,,,,,,,,,,,,,,
Labette County,Kansas,20553,,,,,,,,,,,,,,,,,,,,,,,,,
Lane County,Kansas,1702,,,,,,,,,,,,,,,,,,,,,,,,,
Leavenworth County,Kansas,79359,1188,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Kansas,3121,,,,,,,,,,,,,,,,,,,,,,,,,
Linn County,Kansas,9602,,,,,,,,,,,,,,,,,,,,,,,,,
Logan County,Kansas,2790,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Kansas,33302,706,,,,,,,,,,,,,,,,,,,,,,,,
McPherson County,Kansas,28792,,,,,,,,,,,,,,,,,,,,,,,,,
Marion County,Kansas,12087,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County,Kansas,9859,,,,,,,,,,,,,,,,,,,,,,,,,
Meade County,Kansas,4295,,,,,,,,,,,,,,,,,,,,,,,,,
Miami County,Kansas,32976,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell County,Kansas,6230,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery County,Kansas,33463,344,,,,,,,,,,,,,,,,,,,,,,,,
Morris County,Kansas,5605,,,,,,,,,,,,,,,,,,,,,,,,,
Morton County,Kansas,2931,,,,,,,,,,,,,,,,,,,,,,,,,
Nemaha County,Kansas,10095,,,,,,,,,,,,,,,,,,,,,,,,,
Neosho County,Kansas,16209,,,,,,,,,,,,,,,,,,,,,,,,,
Ness County,Kansas,3001,,,,,,,,,,,,,,,,,,,,,,,,,
Norton County,Kansas,5527,,,,,,,,,,,,,,,,,,,,,,,,,
Osage County,Kansas,15894,,,,,,,,,,,,,,,,,,,,,,,,,
Osborne County,Kansas,3684,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa County,Kansas,5957,,,,,,,,,,,,,,,,,,,,,,,,,
Pawnee County,Kansas,6776,,,,,,,,,,,,,,,,,,,,,,,,,
Phillips County,Kansas,5446,,,,,,,,,,,,,,,,,,,,,,,,,
Pottawatomie County,Kansas,23188,194,,,,,,,,,,,,,,,,,,,,,,,,
Pratt County,Kansas,9670,,,,,,,,,,,,,,,,,,,,,,,,,
Rawlins County,Kansas,2520,,,,,,,,,,,,,,,,,,,,,,,,,
Reno County,Kansas,63360,355,,,,,,,,,,,,,,,,,,,,,,,,
Republic County,Kansas,4705,,,,,,,,,,,,,,,,,,,,,,,,,
Rice County,Kansas,9868,,,,,,,,,,,,,,,,,,,,,,,,,
Riley County,Kansas,75696,3723,,,,,,44.05,,,,,,,,,,,,,,,,,,
Rooks County,Kansas,5148,,,,,,,,,,,,,,,,,,,,,,,,,
Rush County,Kansas,3119,,,,,,,,,,,,,,,,,,,,,,,,,
Russell County,Kansas,6987,,,,,,,,,,,,,,,,,,,,,,,,,
Saline County,Kansas,55334,1325,,,,,,,,,,,,,,,,,,,,,,,,
Scott County,Kansas,4981,,,,,,,,,,,,,,,,,,,,,,,,,
Sedgwick County,Kansas,510484,22239,11.75,,,,,7.32,,,,,,,,,,,,,,,,,,43.31
Seward County,Kansas,22948,677,,,,,,,,,,,,,,,,,,,,,,,,
Shawnee County,Kansas,178392,2262,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan County,Kansas,2497,,,,,,,,,,,,,,,,,,,,,,,,,
Sherman County,Kansas,5999,,,,,,,,,,,,,,,,,,,,,,,,,
Smith County,Kansas,3693,,,,,,,,,,,,,,,,,,,,,,,,,
Stafford County,Kansas,4251,,,,,,,,,,,,,,,,,,,,,,,,,
Stanton County,Kansas,2107,,,,,,,,,,,,,,,,,,,,,,,,,
Stevens County,Kansas,5741,,,,,,,,,,,,,,,,,,,,,,,,,
Sumner County,Kansas,23336,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas County,Kansas,7847,,,,,,,,,,,,,,,,,,,,,,,,,
Trego County,Kansas,2899,,,,,,,,,,,,,,,,,,,,,,,,,
Wabaunsee County,Kansas,6918,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace County,Kansas,1591,,,,,,,,,,,,,,,,,,,,,,,,,
Washington County,Kansas,5572,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita County,Kansas,2157,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson County,Kansas,8858,62,,,,,,,,,,,,,,,,,,,,,,,,
Woodson County,Kansas,3178,,,,,,,,,,,,,,,,,,,,,,,,,
Wyandotte County,Kansas,163227,6325,,,,,,,,,,,,,,,,,,,,,,,,
Adair County,Kentucky,19304,,,,,,,,,,,,,,,,,,,,,,,,,
Allen County,Kentucky,20628,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County,Kentucky,22017,,,,,,,,,,,,,,,,,,,,,,,,,
Ballard County,Kentucky,8152,,,,,,,,,,,,,,,,,,,,,,,,,
Barren County,Kentucky,43418,,,,,,,,,,,,,,,,,,,,,,,,,
Bath County,Kentucky,12189,,,,,,,,,,,,,,,,,,,,,,,,,
Bell County,Kentucky,27469,,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,Kentucky,127682,2954,,,,,,,,,,,,,,,,,,,,,,,,
Bourbon County,Kentucky,20017,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd County,Kentucky,48486,,,,,,,,,,,,,,,,,,,,,,,,,
Boyle County,Kentucky,29773,233,,,,,,,,,,,,,,,,,,,,,,,,
Bracken County,Kentucky,8330,,,,,,,,,,,,,,,,,,,,,,,,,
Breathitt County,Kentucky,13276,,,,,,,,,,,,,,,,,,,,,,,,,
Breckinridge County,Kentucky,19991,,,,,,,,,,,,,,,,,,,,,,,,,
Bullitt County,Kentucky,78622,517,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Kentucky,12735,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell County,Kentucky,12747,,,,,,,,,,,,,,,,,,,,,,,,,
Calloway County,Kentucky,38616,707,,,,,,,,,,,,,,,,,,,,,,,,
Campbell County,Kentucky,91804,882,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle County,Kentucky,4890,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll County,Kentucky,10695,,,,,,,,,,,,,,,,,,,,,,,,,
Carter County,Kentucky,27385,,,,,,,,,,,,,,,,,,,,,,,,,
Casey County,Kentucky,15805,,,,,,,,,,,,,,,,,,,,,,,,,
Christian County,Kentucky,72438,998,,,,,,,,,,,,,,,,,,,,,,,,
Clark County,Kentucky,35757,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,Kentucky,20866,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton County,Kentucky,10208,,,,,,,,,,,,,,,,,,,,,,,,,
Crittenden County,Kentucky,9154,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County,Kentucky,6744,,,,,,,,,,,,,,,,,,,,,,,,,
Daviess County,Kentucky,99258,1277,,,,,,,,,,,,,,,,,,,,,,,,
Edmonson County,Kentucky,12063,,,,,,,,,,,,,,,,,,,,,,,,,
Elliott County,Kentucky,7533,,,,,,,,,,,,,,,,,,,,,,,,,
Estill County,Kentucky,14382,,,,,,,,,,,,,,,,,,,,,,,,,
Fayette County,Kentucky,315109,11224,23.33,,,,,24.35,,,,,,,,,,,,,,,,,,
Fleming County,Kentucky,14515,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd County,Kentucky,37447,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County,Kentucky,49969,912,,,,,,,,,,,,,,,,,,,,,,,,
Fulton County,Kentucky,6259,,,,,,,,,,,,,,,,,,,,,,,,,
Gallatin County,Kentucky,8652,,,,,,,,,,,,,,,,,,,,,,,,,
Garrard County,Kentucky,17226,,,,,,,,,,,,,,,,,,,,,,,,,
Grant County,Kentucky,24800,,,,,,,,,,,,,,,,,,,,,,,,,
Graves County,Kentucky,37259,176,,,,,,,,,,,,,,,,,,,,,,,,
Grayson County,Kentucky,26129,,,,,,,,,,,,,,,,,,,,,,,,,
Green County,Kentucky,11044,,,,,,,,,,,,,,,,,,,,,,,,,
Greenup County,Kentucky,36012,,,,,,,,,,,,,,,,,,,,,,,,,
Hancock County,Kentucky,8700,,,,,,,,,,,,,,,,,,,,,,,,,
Hardin County,Kentucky,107699,2200,,,,,,,,,,,25.36,,,,,,,,,,,,,
Harlan County,Kentucky,27548,115,,,,,,,,,,,,,,,,,,,,,,,,
Harrison County,Kentucky,18630,,,,,,,,,,,,,,,,,,,,,,,,,
Hart County,Kentucky,18531,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson County,Kentucky,46252,,,,,,,,,,,,,,,,,,,,,,,,,
Henry County,Kentucky,15677,,,,,,,,,,,,,,,,,,,,,,,,,
Hickman County,Kentucky,4625,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins County,Kentucky,45985,251,,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,Kentucky,13369,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Kentucky,764378,20376,29.61,,,,,11.36,8.04,,,,,,,,,,,,,,,,,14.63
Jessamine County,Kentucky,51667,719,,,,,,,,,,,,,,,,,,,,,,,,
Johnson County,Kentucky,23064,,,,,,,,,,,,,,,,,,,,,,,,,
Kenton County,Kentucky,163987,2057,,,,,,,,,,,,,,,,,,,,,,,,
Knott County,Kentucky,15690,,,,,,,,,,,,,,,,,,,,,,,,,
Knox County,Kentucky,31424,,,,,,,,,,,,,,,,,,,,,,,,,
Larue County,Kentucky,14102,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel County,Kentucky,59901,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence County,Kentucky,15844,,,,,,,,,,,,,,,,,,,,,,,,,
Lee County,Kentucky,6717,,,,,,,,,,,,,,,,,,,,,,,,,
Leslie County,Kentucky,10648,,,,,,,,,,,,,,,,,,,,,,,,,
Letcher County,Kentucky,23011,57,,,,,,,,,,,,,,,,,,,,,,,,
Lewis County,Kentucky,13565,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Kentucky,24413,,,,,,,,,,,,,,,,,,,,,,,,,
Livingston County,Kentucky,9288,,,,,,,,,,,,,,,,,,,,,,,,,
Logan County,Kentucky,26847,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Kentucky,8268,,,,,,,,,,,,,,,,,,,,,,,,,
McCracken County,Kentucky,65285,,,,,,,,,,,,,,,,,,,,,,,,,
McCreary County,Kentucky,17748,,,,,,,,,,,,,,,,,,,,,,,,,
McLean County,Kentucky,9361,,,,,,,,,,,,,,,,,,,,,,,,,
Madison County,Kentucky,88376,783,,,,,,,,,,,,,,,,,,,,,,,,
Magoffin County,Kentucky,12783,,,,,,,,,,,,,,,,,,,,,,,,,
Marion County,Kentucky,19335,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County,Kentucky,31177,128,,,,,,,,,,,,,,,,,,,,,,,,
Martin County,Kentucky,12175,,,,,,,,,,,,,,,,,,,,,,,,,
Mason County,Kentucky,17167,116,,,,,,,,,,,,,,,,,,,,,,,,
Meade County,Kentucky,28452,,,,,,,,,,,,,,,,,,,,,,,,,
Menifee County,Kentucky,6381,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer County,Kentucky,21378,142,,,,,,,,,,,,,,,,,,,,,,,,
Metcalfe County,Kentucky,9990,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe County,Kentucky,10645,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery County,Kentucky,27550,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan County,Kentucky,13281,,,,,,,,,,,,,,,,,,,,,,,,,
Muhlenberg County,Kentucky,31153,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson County,Kentucky,45131,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas County,Kentucky,7061,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio County,Kentucky,24062,,,,,,,,,,,,,,,,,,,,,,,,,
Oldham County,Kentucky,64633,932,,,,,,,,,,,,,,,,,,,,,,,,
Owen County,Kentucky,10686,,,,,,,,,,,,,,,,,,,,,,,,,
Owsley County,Kentucky,4497,,,,,,,,,,,,,,,,,,,,,,,,,
Pendleton County,Kentucky,14530,,,,,,,,,,,,,,,,,,,,,,,,,
Perry County,Kentucky,27329,,,,,,,,,,,,,,,,,,,,,,,,,
Pike County,Kentucky,61586,322,,,,,,,,,,,,,,,,,,,,,,,,
Powell County,Kentucky,12349,,,,,,,,,,,,,,,,,,,,,,,,,
Pulaski County,Kentucky,63974,464,,,,,,,,,,,,,,,,,,,,,,,,
Robertson County,Kentucky,2161,,,,,,,,,,,,,,,,,,,,,,,,,
Rockcastle County,Kentucky,16815,,,,,,,,,,,,,,,,,,,,,,,,,
Rowan County,Kentucky,24392,,,,,,,,,,,,,,,,,,,,,,,,,
Russell County,Kentucky,17731,83,,,,,,,,,,,,,,,,,,,,,,,,
Scott County,Kentucky,52322,515,,,,,,,,,,,,,,,,,,,,,,,,
Shelby County,Kentucky,45831,345,,,,,,,,,,,,,,,,,,,,,,,,
Simpson County,Kentucky,17881,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer County,Kentucky,18012,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor County,Kentucky,25406,,,,,,,,,,,,,,,,,,,,,,,,,
Todd County,Kentucky,12377,,,,,,,,,,,,,,,,,,,,,,,,,
Trigg County,Kentucky,14286,,,,,,,,,,,,,,,,,,,,,,,,,
Trimble County,Kentucky,8697,,,,,,,,,,,,,,,,,,,,,,,,,
Union County,Kentucky,14915,,,,,,,,,,,,,,,,,,,,,,,,,
Warren County,Kentucky,123824,4132,,,,,,,,,,,,,,,,,,,,,,,,
Washington County,Kentucky,11999,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne County,Kentucky,20692,,,,,,,,,,,,,,,,,,,,,,,,,
Webster County,Kentucky,13180,,,,,,,,,,,,,,,,,,,,,,,,,
Whitley County,Kentucky,36027,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfe County,Kentucky,7251,,,,,,,,,,,,,,,,,,,,,,,,,
Woodford County,Kentucky,25817,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia Parish,Louisiana,62607,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Parish,Louisiana,25667,187,,,,,,,,,,,,,,,,,,,,,,,,
Ascension Parish,Louisiana,119129,1072,,,,,,,,,,,,,,,,,,,,,,,,
Assumption Parish,Louisiana,22881,,,,,,,,,,,,,,,,,,,,,,,,,
Avoyelles Parish,Louisiana,41095,,,,,,,,,,,,,,,,,,,,,,,,,
Beauregard Parish,Louisiana,36598,,,,,,,,,,,,,,,,,,,,,,,,,
Bienville Parish,Louisiana,13806,,,,,,,,,,,,,,,,,,,,,,,,,
Bossier Parish,Louisiana,125698,1941,,,,,,,,,,,,,,,,,,,,,,,,
Caddo Parish,Louisiana,251069,3050,,,,,,,,,,,,,,,,,,,,,,,,
Calcasieu Parish,Louisiana,198753,2697,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell Parish,Louisiana,1e4,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Parish,Louisiana,6806,,,,,,,,,,,,,,,,,,,,,,,,,
Catahoula Parish,Louisiana,10044,,,,,,,,,,,,,,,,,,,,,,,,,
Claiborne Parish,Louisiana,16296,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia Parish,Louisiana,20211,,,,,,,,,,,,,,,,,,,,,,,,,
De Soto Parish,Louisiana,27164,,,,,,,,,,,,,,,,,,,,,,,,,
East Baton Rouge Parish,Louisiana,446167,15146,,,,,,20.24,,,,,,,,,,,,,,,,,,38.8
