County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Wilcox County,Alabama,10919,,,,,,,,,,,,,,,,,,,,,,,,,
Winston County,Alabama,23968,,,,,,,,,,,,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,3338,874,,,,,,,93.14,,,,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,5784,2213,,,,,,,85,,,,,,,,,,,,,,,,,
Anchorage Municipality,Alaska,298225,27815,,,,,,,47.83,13.74,,,13.38,,,,,,,,,,,,,
Bethel Census Area,Alaska,17957,165,,,,,,,,,,,,,,,,,,,,,,,,
Bristol Bay Borough,Alaska,917,,,,,,,,,,,,,,,,,,,,,,,,,
Denali Borough,Alaska,2303,,,,,,,,,,,,,,,,,,,,,,,,,
Dillingham Census Area,Alaska,4974,75,,,,,,,,,,,,,,,,,,,,,,,,
Fairbanks North Star Borough,Alaska,100031,3132,,,,,,,,,,,,,,,,,,,,,,,,
Haines Borough,Alaska,2537,,,,,,,,,,,,,,,,,,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2146,,,,,,,,,,,,,,,,,,,,,,,,,
Juneau City and Borough,Alaska,32434,2381,,,,,,,79.38,,,,,,,,,,,,,,,,,
Kenai Peninsula Borough,Alaska,57961,863,,,,,,,65.24,,,,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,13745,1103,,,,,,,84.13,,,,,,,,,,,,,,,,,
Kodiak Island Borough,Alaska,13773,3048,,,,,,,92.29,,,,,,,,,,,,,,,,,
Kusilvak Census Area,Alaska,8129,41,,,,,,,95.12,,,,,,,,,,,,,,,,,
Lake and Peninsula Borough,Alaska,1301,,,,,,,,,,,,,,,,,,,,,,,,,
Matanuska-Susitna Borough,Alaska,101135,1313,,,,,,,,,,,,,,,,,,,,,,,,
Nome Census Area,Alaska,9869,,,,,,,,,,,,,,,,,,,,,,,,,
North Slope Borough,Alaska,9757,565,,,,,,,69.73,,,,,,,,,,,,,,,,,
Northwest Arctic Borough,Alaska,7715,68,,,,,,,,,,,,,,,,,,,,,,,,
