Geography,Total Population,Asian Alone,Asian Alone Share,NHPI Alone,NHPI Alone Share,Asian Alone or Combo,Asian Alone or Combo Share,NHPI Alone or Combo,NHPI Alone or Combo Share
"Billings, MT Metro Area",167545,989,0.59,147,0.09,1907,1.14,283,0.17
"Binghamton, NY Metro Area",245446,8711,3.55,83,0.03,10354,4.22,141,0.06
"Birmingham-Hoover, AL Metro Area",1144097,15469,1.35,251,0.02,19673,1.72,811,0.07
"Bismarck, ND Metro Area",128673,743,0.58,42,0.03,1017,0.79,78,0.06
"Blacksburg-Christiansburg-Radford, VA Metro Area",181863,6874,3.78,51,0.03,8170,4.49,316,0.17
"Bloomington, IL Metro Area",189407,8789,4.64,66,0.03,10499,5.54,172,0.09
"Bloomington, IN Metro Area",165393,9221,5.58,44,0.03,11157,6.75,172,0.1
"Bloomsburg-Berwick, PA Metro Area",84917,1343,1.58,20,0.02,1461,1.72,77,0.09
"Boise City, ID Metro Area",677346,13263,1.96,1079,0.16,20675,3.05,2912,0.43
"Boston-Cambridge-Newton, MA-NH Metro Area",4771936,359705,7.54,1260,0.03,404545,8.48,7079,0.15
"Boulder, CO Metro Area",316782,14305,4.52,271,0.09,18331,5.79,776,0.24
"Bowling Green, KY Metro Area",169250,4205,2.48,299,0.18,4832,2.85,667,0.39
"Bremerton-Silverdale, WA Metro Area",258903,12510,4.83,2094,0.81,20586,7.95,4388,1.69
"Bridgeport-Stamford-Norwalk, CT Metro Area",947328,48962,5.17,396,0.04,58108,6.13,1577,0.17
"Brownsville-Harlingen, TX Metro Area",420201,2842,0.68,55,0.01,3511,0.84,138,0.03
"Brunswick, GA Metro Area",115939,1203,1.04,85,0.07,1806,1.56,270,0.23
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1136670,34065,3,368,0.03,39966,3.52,1123,0.1
"Burlington, NC Metro Area",157844,2378,1.51,67,0.04,2782,1.76,129,0.08
"Burlington-South Burlington, VT Metro Area",216751,6331,2.92,72,0.03,7766,3.58,378,0.17
"California-Lexington Park, MD Metro Area",110979,3079,2.77,28,0.03,4216,3.8,178,0.16
"Canton-Massillon, OH Metro Area",402098,3160,0.79,84,0.02,4637,1.15,154,0.04
"Cape Coral-Fort Myers, FL Metro Area",700165,10856,1.55,382,0.05,14031,2,1064,0.15
"Cape Girardeau, MO-IL Metro Area",97136,1165,1.2,17,0.02,1524,1.57,193,0.2
"Carbondale-Marion, IL Metro Area",126592,2668,2.11,15,0.01,3572,2.82,107,0.08
"Carson City, NV Metro Area",54219,1326,2.45,78,0.14,1958,3.61,192,0.35
"Casper, WY Metro Area",81023,652,0.8,5,0.01,1013,1.25,221,0.27
"Cedar Rapids, IA Metro Area",266122,5096,1.91,134,0.05,6873,2.58,297,0.11
"Chambersburg-Waynesboro, PA Metro Area",153003,1526,1,60,0.04,1965,1.28,145,0.09
"Champaign-Urbana, IL Metro Area",237849,21609,9.09,132,0.06,24038,10.11,447,0.19
"Charleston, WV Metro Area",219964,2024,0.92,12,0.01,3051,1.39,46,0.02
"Charleston-North Charleston, SC Metro Area",744195,12822,1.72,361,0.05,18810,2.53,875,0.12
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2427024,82910,3.42,1181,0.05,97275,4.01,2857,0.12
"Charlottesville, VA Metro Area",228825,9121,3.99,72,0.03,11162,4.88,263,0.11
"Chattanooga, TN-GA Metro Area",548359,8913,1.63,301,0.05,10810,1.97,599,0.11
"Cheyenne, WY Metro Area",97031,1171,1.21,185,0.19,2152,2.22,459,0.47
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9549229,605836,6.34,3346,0.04,690701,7.23,11052,0.12
"Chico, CA Metro Area",225207,10174,4.52,424,0.19,13390,5.95,1346,0.6
"Cincinnati, OH-KY-IN Metro Area",2156723,51027,2.37,1055,0.05,62005,2.87,2311,0.11
"Clarksville, TN-KY Metro Area",278844,5250,1.88,1025,0.37,8459,3.03,2107,0.76
"Cleveland, TN Metro Area",120388,1221,1.01,32,0.03,1368,1.14,55,0.05
"Cleveland-Elyria, OH Metro Area",2062764,44364,2.15,430,0.02,57148,2.77,1629,0.08
"Coeur d'Alene, ID Metro Area",150128,1070,0.71,161,0.11,2470,1.65,722,0.48
"College Station-Bryan, TX Metro Area",248554,13034,5.24,101,0.04,14524,5.84,364,0.15
"Colorado Springs, CO Metro Area",698595,18795,2.69,2798,0.4,30680,4.39,5475,0.78
"Columbia, MO Metro Area",174589,7419,4.25,211,0.12,9426,5.4,393,0.23
"Columbia, SC Metro Area",808377,16173,2,660,0.08,20109,2.49,1148,0.14
"Columbus, GA-AL Metro Area",309979,5893,1.9,511,0.16,8882,2.87,953,0.31
"Columbus, IN Metro Area",81024,5066,6.25,64,0.08,5366,6.62,95,0.12
"Columbus, OH Metro Area",2023695,77475,3.83,713,0.04,91814,4.54,2454,0.12
"Corpus Christi, TX Metro Area",450183,8223,1.83,245,0.05,10276,2.28,624,0.14
"Corvallis, OR Metro Area",88249,5857,6.64,232,0.26,7110,8.06,463,0.52
"Crestview-Fort Walton Beach-Destin, FL Metro Area",261048,6578,2.52,432,0.17,10851,4.16,1394,0.53
"Cumberland, MD-WV Metro Area",100012,695,0.69,24,0.02,1127,1.13,65,0.06
"Dallas-Fort Worth-Arlington, TX Metro Area",7104415,448434,6.31,7130,0.1,509148,7.17,14953,0.21
"Dalton, GA Metro Area",143407,1582,1.1,0,0,1929,1.35,66,0.05
