District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
District 2,California,20184,171600,295900,445200,1105700
District 2,Colorado,15728,124600,162600,246e3,1039600
District 2,Connecticut,15161,195600,273700,258e3,788800
District 2,Florida,8358,,,,492700
District 2,Georgia,5272,,,,239300
District 2,Hawaii,144364,1505e3,4498500,4361e3,4071900
District 2,Idaho,8149,,163900,189500,346400
District 2,Illinois,3713,,,,232700
District 2,Indiana,5705,,,,304600
District 2,Iowa,10486,108400,,164200,623300
District 2,Kansas,6177,,,,389200
District 2,Kentucky,5829,,141500,,204500
District 2,Louisiana,15129,482600,319700,288400,422200
District 2,Maine,3172,,,,162400
District 2,Maryland,28960,370400,402900,442200,1680500
District 2,Massachusetts,24975,387900,352e3,326200,1431400
District 2,Michigan,10804,278300,266e3,209300,326800
District 2,Minnesota,20302,301700,345100,483400,9e5
District 2,Mississippi,2691,,,,
District 2,Missouri,22865,184700,178500,260700,1662600
District 2,Nebraska,12846,331400,131800,146900,674500
District 2,Nevada,20611,227200,418900,560900,854100
District 2,New Hampshire,11005,,,,733300
District 2,New Jersey,19915,411700,411200,429400,739200
District 2,New Mexico,3824,,,,182600
District 2,New York,15995,180400,255600,359500,804e3
District 2,North Carolina,9774,,,,603900
District 2,Ohio,7236,,,,470300
District 2,Oklahoma,2852,67100,68800,69300,8e4
District 2,Oregon,6073,,,163700,242900
District 2,Pennsylvania,22682,337900,303600,205400,1421300
District 2,Rhode Island,10551,,232400,170900,452400
District 2,South Carolina,9051,,146500,,478700
District 2,Tennessee,7572,,,,473800
District 2,Texas,42694,481900,691900,735900,2359700
District 2,Utah,12097,174900,222100,230500,582200
District 2,Virginia,28924,312300,498900,850600,1230600
District 2,Washington,42692,542800,754100,1242600,1729700
District 2,West Virginia,3775,,,,216200
District 2,Wisconsin,17420,176e3,183900,228400,1153700
District 20,California,26744,327500,525400,718300,1103200
District 20,Florida,14683,,298100,329200,597e3
District 20,New York,21737,271e3,286900,257100,1358700
District 20,Texas,16518,,249600,309e3,863500
District 21,California,15841,361400,361700,477900,383100
District 21,Florida,13850,,223e3,292600,691500
District 21,New York,4398,,,,214100
District 21,Texas,17983,147500,,264800,1192600
District 22,California,37832,68e4,615200,968300,1519700
District 22,Florida,17691,219300,310700,369400,869700
District 22,New York,9433,291300,115100,174e3,362900
District 22,Texas,100007,926700,1078700,1553100,6442200
