District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
District 2,Hawaii,52493,553700,2487700,1557500,650400
District 2,Idaho,,,,,
District 2,Illinois,,,,,
District 2,Indiana,289,,,,
District 2,Iowa,,,,,
District 2,Kansas,,,,,
District 2,Kentucky,435,,,,
District 2,Louisiana,,,,,
District 2,Maine,,,,,
District 2,Maryland,,,,,
District 2,Massachusetts,,,,,
District 2,Michigan,,,,,
District 2,Minnesota,,,,,
District 2,Mississippi,,,,,
District 2,Missouri,,,,,
District 2,Nebraska,,,,,
District 2,Nevada,1974,,,,
District 2,New Hampshire,,,,,
District 2,New Jersey,,,,,
District 2,New Mexico,,,,,
District 2,New York,,,,,
District 2,North Carolina,,,,,
District 2,Ohio,,,,,
District 2,Oklahoma,724,,,,
District 2,Oregon,1237,,,,
District 2,Pennsylvania,,,,,
District 2,Rhode Island,,,,,
District 2,South Carolina,,,,,
District 2,Tennessee,,,,,
District 2,Texas,,,,,
District 2,Utah,4432,,,,
District 2,Virginia,,,,,
District 2,Washington,2464,,,,
District 2,West Virginia,,,,,
District 2,Wisconsin,,,,,
District 20,California,1731,,,,
District 20,Florida,,,,,
District 20,New York,,,,,
District 20,Texas,,,,,
District 21,California,,,,,
District 21,Florida,,,,,
District 21,New York,,,,,
District 21,Texas,,,,,
District 22,California,922,,,,
District 22,Florida,,,,,
District 22,New York,,,,,
District 22,Texas,,,,,
District 23,California,754,,,,
District 23,Florida,,,,,
District 23,New York,,,,,
District 23,Texas,,,,,
District 24,California,,,,,
District 24,Florida,,,,,
District 24,New York,,,,,
District 24,Texas,,,,,
District 25,California,,,,,
District 25,Florida,,,,,
District 25,New York,,,,,
District 25,Texas,1344,,,,
District 26,California,972,,,,
District 26,Florida,,,,,
District 26,New York,,,,,
District 26,Texas,,,,,
District 27,California,,,,,
District 27,Florida,,,,,
District 27,New York,,,,,
District 27,Texas,,,,,
District 28,California,,,,,
District 28,Texas,,,,,
District 29,California,,,,,
District 29,Texas,,,,,
District 3,Alabama,,,,,
District 3,Arizona,,,,,
District 3,Arkansas,3e3,,,,
District 3,California,2495,,,,
District 3,Colorado,,,,,
District 3,Connecticut,,,,,
District 3,Florida,,,,,
District 3,Georgia,,,,,
District 3,Illinois,,,,,
District 3,Indiana,,,,,
District 3,Iowa,394,,,,
District 3,Kansas,,,,,
District 3,Kentucky,240,,,,
District 3,Louisiana,,,,,
District 3,Maryland,,,,,
District 3,Massachusetts,,,,,
District 3,Michigan,,,,,
District 3,Minnesota,,,,,
District 3,Mississippi,,,,,
District 3,Missouri,,,,,
District 3,Nebraska,,,,,
District 3,Nevada,3877,,159e3,,
District 3,New Jersey,,,,,
District 3,New Mexico,,,,,
District 3,New York,,,,,
District 3,North Carolina,,,,,
District 3,Ohio,,,,,
District 3,Oklahoma,933,,,,
District 3,Oregon,2946,,,,
District 3,Pennsylvania,,,,,
District 3,South Carolina,,,,,
District 3,Tennessee,,,,,
District 3,Texas,422,,,,
District 3,Utah,2312,,,102400,
District 3,Virginia,,,,,
District 3,Washington,2100,,,,
District 3,West Virginia,,,,,
District 3,Wisconsin,,,,,
District 30,California,,,,,
District 30,Texas,,,,,
District 31,California,,,,,
District 31,Texas,1519,,,,
District 32,California,,,,,
District 32,Texas,,,,,
District 33,California,,,,,
District 33,Texas,,,,,
District 34,California,1217,,,,
District 34,Texas,,,,,
District 35,California,,,,,
District 35,Texas,,,,,
District 36,California,,,,,
District 36,Texas,,,,,
District 37,California,,,,,
District 38,California,,,,,
District 39,California,,,,,
District 4,Alabama,,,,,
District 4,Arizona,925,,,,
District 4,Arkansas,,,,,
District 4,California,1268,,,,
District 4,Colorado,,,,,
District 4,Connecticut,,,,,
District 4,Florida,,,,,
District 4,Georgia,,,,,
District 4,Illinois,,,,,
District 4,Indiana,,,,,
District 4,Iowa,442,,,,
District 4,Kansas,,,,,
District 4,Kentucky,,,,,
District 4,Louisiana,,,,,
District 4,Maryland,,,,,
District 4,Massachusetts,,,,,
District 4,Michigan,,,,,
District 4,Minnesota,,,,,
District 4,Mississippi,,,,,
District 4,Missouri,367,,,,
District 4,Nevada,2868,,,,
District 4,New Jersey,,,,,
District 4,New York,,,,,
District 4,North Carolina,,,,,
District 4,Ohio,,,,,
District 4,Oklahoma,558,,,,
District 4,Oregon,756,,,,
