Group,United States,Percent Total
NHPI Combo Total,1467817,100
Native Hawaiian,614572,41.87
Other Pacific Islander not specified,249558,17
Samoan,202268,13.78
Guamanian or Chamorro,156482,10.66
Tongan,71474,4.87
Other Micronesian,64915,4.42
Fijian,50034,3.41
Marshallese,34970,2.38
Other Polynesian,21888,1.49
Other Melanesian,1656,0.11
